id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
event_BunnyX777_06_s_1,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_1,True,blanc,1,think,noir,3,surprise,sullenman,13,idle,CoinRushIndoor,130,130,1.0,bgm_story_fairytalesend_if,,,,
event_BunnyX777_06_s_2,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_2,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_3,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_3,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_4,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_4,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_5,40014,event_BunnyX777_06_s,Self,,,Locale_SubScenario:event_BunnyX777_06_s_5,False,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_6,40014,event_BunnyX777_06_s,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_s_6,True,,1,think,,3,surprise,,13,idle,,130,113,1.0,,,,,
event_BunnyX777_06_s_7,40014,event_BunnyX777_06_s,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_s_7,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,,,,
event_BunnyX777_06_s_8,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_8,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,,,,
event_BunnyX777_06_s_9,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_9,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,,,,
event_BunnyX777_06_s_10,40014,event_BunnyX777_06_s,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_s_10,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,,,,
event_BunnyX777_06_s_11,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_11,True,,1,think,,3,surprise,,13,idle,,113,130,1.0,,,,,
event_BunnyX777_06_s_12,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_12,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_13,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_13,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,,,,
event_BunnyX777_06_s_14,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_14,True,,1,think,,3,surprise,,13,idle,,130,1300,1.0,,,,,
event_BunnyX777_06_s_15,40014,event_BunnyX777_06_s,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_15,True,,1,think,,3,surprise,,13,idle,,1300,1300,1.0,,,,,
