id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_ce003_2_05_e_1,40042,event_ce003_2_05_e,Monologue,Locale_SubScenario:event_ce003_2_05_e_1,False,BuildingLobby,black,black,1.0,bgm_story_weare,,,,,,ce_003_02,1,idle,,ce_003_01,13,idle,,ce_003_03,15,idle,soda,7,idle,,cocoa,5,idle,,ade,3,idle,,,,,,,,,
event_ce003_2_05_e_2,40042,event_ce003_2_05_e,Monologue,Locale_SubScenario:event_ce003_2_05_e_2,False,,black,black,1.0,,,,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_3,40042,event_ce003_2_05_e,Monologue,Locale_SubScenario:event_ce003_2_05_e_3,False,,black,black,1.0,,,,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_4,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_4,True,,S_130,S_130,1.0,,ce_003_01,ce_003_01,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_5,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_5,True,,S_130,S_130,1.0,,ce_003_01,ce_003_01,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_6,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_6,True,,S_70,S_70,1.0,,soda,soda,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_7,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_7,True,,S_70,S_70,1.0,,soda,soda,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_8,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_8,True,,S_70,XS_50,1.0,,cocoa,cocoa,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_9,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_9,True,,XS_50,XS_50,1.0,,cocoa,cocoa,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
event_ce003_2_05_e_10,40042,event_ce003_2_05_e,Speech,Locale_SubScenario:event_ce003_2_05_e_10,True,,XS_50,XS_50,1.0,,cocoa,cocoa,,,,,1,idle,,,13,idle,,,15,idle,,7,idle,,,5,idle,,,3,idle,,,,,,,,,
