id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_ce003_2_02_e_1,40042,event_ce003_2_02_e,Narration,Locale_SubScenario:event_ce003_2_02_e_1,False,ce_003_01,1,surprise,ce_003_02,13,idle,ce_003_03,15,idle,land_d,black,black,1.0,bgm_frostpillar,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_2,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_2,True,,1,surprise,,13,idle,,15,idle,,13,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_3,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_3,True,,1,surprise,,13,idle,,15,idle,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_4,40042,event_ce003_2_02_e,Monologue,Locale_SubScenario:event_ce003_2_02_e_4,False,,1,surprise,,13,idle,,15,idle,,S_10,S_50,2.0,,ce_003_01,,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_5,40042,event_ce003_2_02_e,Monologue,Locale_SubScenario:event_ce003_2_02_e_5,False,,1,surprise,,13,idle,,15,idle,,S_50,S_50,1.0,,ce_003_01,,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_6,40042,event_ce003_2_02_e,Self,Locale_SubScenario:event_ce003_2_02_e_6,False,,1,surprise,,13,idle,,15,idle,,S_50,S_50,1.0,,ce_003_01,,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_7,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_7,True,,1,surprise,,13,idle,,15,idle,,S_50,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_8,40042,event_ce003_2_02_e,Self,Locale_SubScenario:event_ce003_2_02_e_8,False,,1,surprise,,13,idle,,15,idle,,S_10,S_10,1.0,,ce_003_01,,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_9,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_9,True,,1,surprise,,13,idle,,15,idle,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_10,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_10,True,,1,angry,,13,idle,,15,idle,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_11,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_11,True,,1,angry,,13,idle,,15,idle,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,,,,
event_ce003_2_02_e_12,40042,event_ce003_2_02_e,Speech,Locale_SubScenario:event_ce003_2_02_e_12,True,,1,angry,,13,idle,,15,no,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,,,,
