id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,characters/2/hide_char_id,fade
event_coinsinrush2_02_s_1,40089,event_coinsinrush2_02_s,Self,Locale_MainScenario:event_coinsinrush2_02_s_1,False,Corridor,3,3,1.0,none,,,,,,,,,,,,,,,,
event_coinsinrush2_02_s_2,40089,event_coinsinrush2_02_s,Monologue,Locale_MainScenario:event_coinsinrush2_02_s_2,False,,3,3,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_02_s_3,40089,event_coinsinrush2_02_s,Monologue,Locale_MainScenario:event_coinsinrush2_02_s_3,False,,3,3,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_02_s_4,40089,event_coinsinrush2_02_s,Monologue,Locale_MainScenario:event_coinsinrush2_02_s_4,False,,3,3,1.0,,grublingfemaleguest,15,idle,lookingmaleguest,17,idle,,,,,,,,,,
event_coinsinrush2_02_s_5,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_5,True,,3,16,1.0,bgm_story_kneeldownfools,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,,,,,,,
event_coinsinrush2_02_s_6,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_6,True,,16,16,1.0,,,15,idle,,17,idle,lookingmaleguest,lookingmaleguest,,,,,,,,
event_coinsinrush2_02_s_7,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_7,True,,16,16,1.0,,,15,idle,,17,idle,lookingmaleguest,lookingmaleguest,,,,,,,,
event_coinsinrush2_02_s_8,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_8,True,,16,16,1.0,,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,,,,,,,
event_coinsinrush2_02_s_9,40089,event_coinsinrush2_02_s,Self,Locale_MainScenario:event_coinsinrush2_02_s_9,False,,16,16,1.0,,,15,idle,,17,idle,,,,,,,,,,
event_coinsinrush2_02_s_10,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_10,True,,16,16,1.0,,,15,idle,,17,idle,exia_b_op,exia_b_op,exia_b_op,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_11,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_11,True,,16,16,1.0,,,15,idle,,17,idle,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_12,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_12,True,,16,16,1.0,,,15,idle,,17,idle,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_13,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_13,True,,16,16,1.0,,,15,idle,,17,idle,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_14,40089,event_coinsinrush2_02_s,Self,Locale_MainScenario:event_coinsinrush2_02_s_14,False,,16,16,1.0,,,15,idle,,17,idle,,,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_15,40089,event_coinsinrush2_02_s,Monologue,Locale_MainScenario:event_coinsinrush2_02_s_15,False,,black,black,1.0,,,15,idle,,17,idle,,,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_16,40089,event_coinsinrush2_02_s,Monologue,Locale_MainScenario:event_coinsinrush2_02_s_16,False,,black,black,1.0,,,15,idle,,17,idle,,,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_17,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_17,True,,16,16,1.0,,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_18,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_18,True,,16,16,1.0,,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_19,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_19,True,,16,16,1.0,,,15,idle,,17,idle,lookingmaleguest,lookingmaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_20,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_20,True,,16,16,1.0,,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_21,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_21,True,,16,16,1.0,,,15,idle,,17,idle,grublingfemaleguest,grublingfemaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_22,40089,event_coinsinrush2_02_s,Speech,Locale_MainScenario:event_coinsinrush2_02_s_22,True,,16,16,1.0,,,15,idle,,17,idle,lookingmaleguest,lookingmaleguest,,OP_leftup,idle,,,,,
event_coinsinrush2_02_s_23,40089,event_coinsinrush2_02_s,Narration,Locale_MainScenario:event_coinsinrush2_02_s_23,False,,black,black,1.0,,,15,idle,,17,idle,,,,OP_leftup,idle,grublingfemaleguest,lookingmaleguest,sfx_scn_naturalfootstep,,
