id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_colorless_05_s_1,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_1,False,SchoolCorridor_e,S_10,S_10,1.0,bgm_story_fairytalesend_if,,,,privaty,1,sad,,,
event_colorless_05_s_2,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_2,True,,S_10,S_10,1.0,,,,,,1,sad,,,
event_colorless_05_s_3,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_3,False,,S_10,S_10,1.0,,,,,,1,sad,,,
event_colorless_05_s_4,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_4,True,,S_10,S_10,1.0,,,,,,1,sad,,,
event_colorless_05_s_5,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_5,True,,S_10,S_10,1.0,,,,,,1,shy,,,
event_colorless_05_s_6,40054,event_colorless_05_s,Narration,privaty,,Locale_SubScenario:event_colorless_05_s_6,False,,S_10,S_10,1.0,,sfx_scn_phonevibration,,,,1,shy,,,
event_colorless_05_s_7,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_7,True,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_8,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_8,False,,S_10,S_10,1.0,,,m_event_colorless_05_s_01,,,1,idle,,,
event_colorless_05_s_9,40054,event_colorless_05_s,Monologue,,,Locale_SubScenario:event_colorless_05_s_9,False,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_10,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_10,False,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_11,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_11,True,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_12,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_12,False,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_13,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_13,False,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_14,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_14,False,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_15,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_15,True,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_16,40054,event_colorless_05_s,Monologue,privaty,,Locale_SubScenario:event_colorless_05_s_16,False,,S_10,14,1.0,,,,black,,1,idle,,,
event_colorless_05_s_17,40054,event_colorless_05_s,Self,privaty,,Locale_SubScenario:event_colorless_05_s_17,False,,14,14,1.0,,,,,,1,idle,,,
event_colorless_05_s_18,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_18,True,,14,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_19,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_19,True,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_20,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_20,True,,S_10,S_10,1.0,,,,,,1,idle,,,
event_colorless_05_s_21,40054,event_colorless_05_s,Speech,privaty,unknown,Locale_SubScenario:event_colorless_05_s_21,False,,S_10,S_10,1.0,none,,,,,1,idle,,,
event_colorless_05_s_22,40054,event_colorless_05_s,Monologue,,,Locale_SubScenario:event_colorless_05_s_22,False,Classroom_e,S_10,S_50,2.0,,,,,,5,surprise,,,
event_colorless_05_s_23,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_23,True,,S_50,S_50,1.0,,,,,,5,surprise,,,
event_colorless_05_s_24,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_24,True,,S_50,S_30,1.0,bgm_story_stormbreakers,,,,,5,surprise,marciana_u,3,special
event_colorless_05_s_25,40054,event_colorless_05_s,Self,marciana_u,,Locale_SubScenario:event_colorless_05_s_25,False,,S_30,S_30,1.0,,,,,,5,surprise,,3,special
event_colorless_05_s_26,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_26,True,,S_30,S_50,1.0,,,,,,5,surprise,,3,special
event_colorless_05_s_27,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_27,True,,S_50,S_50,1.0,,,,,,5,surprise,,3,special
event_colorless_05_s_28,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_28,True,,S_50,S_30,1.0,,,,,,5,surprise,,3,think
event_colorless_05_s_29,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_29,True,,S_30,S_30,1.0,,,,,,5,surprise,,3,think
event_colorless_05_s_30,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_30,True,,S_30,S_30,1.0,,,,,,5,surprise,,3,think
event_colorless_05_s_31,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_31,False,,S_30,S_50,1.0,,,,,,5,surprise,,3,think
event_colorless_05_s_32,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_32,True,,S_50,S_50,1.0,,,,,,5,shy,,3,think
event_colorless_05_s_33,40054,event_colorless_05_s,Self,marciana_u,,Locale_SubScenario:event_colorless_05_s_33,False,,S_50,S_30,1.0,,,,,,5,shy,,3,think
event_colorless_05_s_34,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_34,True,,S_30,S_30,1.0,,,,,,5,shy,,3,think
event_colorless_05_s_35,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_35,True,,S_30,S_30,1.0,,,,,,5,shy,,3,special
event_colorless_05_s_36,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_36,True,,S_30,S_30,1.0,,,,,,5,shy,,3,special
event_colorless_05_s_37,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_37,True,,S_30,S_50,1.0,,,,,,5,shy,,3,special
event_colorless_05_s_38,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_38,False,,S_50,S_50,1.0,,,,,,5,idle,,3,special
event_colorless_05_s_39,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_39,True,,S_50,S_50,1.0,,,,,,5,idle,,3,special
event_colorless_05_s_40,40054,event_colorless_05_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_05_s_40,True,,S_50,S_50,1.0,,,,,,5,idle,,3,special
event_colorless_05_s_41,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_41,True,,S_50,S_30,1.0,,,,,,5,idle,,3,surprise
event_colorless_05_s_42,40054,event_colorless_05_s,Speech,marciana_u,marciana,Locale_SubScenario:event_colorless_05_s_42,True,,S_30,S_30,1.0,,,,,,5,idle,,3,surprise
event_colorless_05_s_43,40054,event_colorless_05_s,Self,marciana_u,,Locale_SubScenario:event_colorless_05_s_43,False,,S_30,S_30,1.0,,,,,,5,idle,,3,surprise
