id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_seayouagain_13_1,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_1,False,LogHouseIn_n,black,black,1.0,sfx_scn_knock,none,,,helm_s,3,idle,mary_s,1,idle
d_ex_seayouagain_13_2,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_2,False,,black,black,1.0,sfx_scn_glassdooropen,bgm_story_voicesofthesea,,,,3,idle,,1,idle
d_ex_seayouagain_13_3,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_3,True,,2,2,1.0,,,mary_s,,,3,think,,1,idle
d_ex_seayouagain_13_4,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_4,True,,2,2,1.0,,,helm_s,,,3,think,,1,idle
d_ex_seayouagain_13_5,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_5,True,,2,2,1.0,,,mary_s,,,3,think,,1,idle
d_ex_seayouagain_13_6,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_6,True,,2,2,1.0,,,mary_s,,,3,think,,1,think
d_ex_seayouagain_13_7,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_7,True,,2,2,1.0,,,mary_s,,,3,think,,1,think
d_ex_seayouagain_13_8,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_8,True,,2,2,1.0,,,helm_s,,,3,idle,,1,think
d_ex_seayouagain_13_9,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_9,True,,2,2,1.0,,,helm_s,,,3,sad,,1,think
d_ex_seayouagain_13_10,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_10,True,,2,2,1.0,,,mary_s,,,3,sad,,1,think
d_ex_seayouagain_13_11,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_11,False,,black,black,1.0,,,,,,3,sad,,1,think
d_ex_seayouagain_13_12,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_12,True,,1,10,1.0,,,mary_s,,,3,idle,,1,think
d_ex_seayouagain_13_13,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_13,True,,10,10,1.0,,,mary_s,,,3,idle,,1,think
d_ex_seayouagain_13_14,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_14,True,,10,30,1.0,,,helm_s,,,3,idle,,1,think
d_ex_seayouagain_13_15,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_15,True,,30,30,1.0,,,helm_s,,,3,sad,,1,think
d_ex_seayouagain_13_16,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_16,True,,30,30,1.0,,,helm_s,,,3,idle,,1,think
d_ex_seayouagain_13_17,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_17,False,,30,50,1.0,sfx_scn_grab,,,,,5,idle,,3,think
d_ex_seayouagain_13_18,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_18,False,,50,4,1.0,,,,,,5,idle,,3,think
d_ex_seayouagain_13_19,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_19,True,,4,30,1.0,,,mary_s,,,5,idle,,3,think
d_ex_seayouagain_13_20,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_20,True,,50,50,1.0,,,helm_s,,,5,surprise,,3,think
d_ex_seayouagain_13_21,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_21,True,,50,30,1.0,,,mary_s,,,5,surprise,,3,idle
d_ex_seayouagain_13_22,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_22,False,Beach_n,17,17,1.0,sfx_scn_wavebreak,,,black,,3,surprise,,1,idle
d_ex_seayouagain_13_23,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_23,True,,17,2,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_24,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_24,True,,2,2,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_25,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_25,False,,2,2,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_26,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_26,True,,2,2,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_27,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_27,True,,2,3,1.0,,,helm_s,,,3,delight,,1,idle
d_ex_seayouagain_13_28,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_28,True,,3,3,1.0,,,helm_s,,,3,delight,,1,idle
d_ex_seayouagain_13_29,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_29,True,,3,30,1.0,,,helm_s,,,3,delight,,1,idle
d_ex_seayouagain_13_30,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_30,True,,30,10,1.0,,,mary_s,,,3,delight,,1,think
d_ex_seayouagain_13_31,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_31,True,,10,10,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_32,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_32,True,,10,10,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_33,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_33,True,,10,1,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_34,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_34,True,,1,3,1.0,,,helm_s,,,3,surprise,,1,idle
d_ex_seayouagain_13_35,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_35,True,,3,1,1.0,,,mary_s,,,3,surprise,,1,idle
d_ex_seayouagain_13_36,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_36,True,,1,10,0.5,,,mary_s,,,3,surprise,,1,surprise
d_ex_seayouagain_13_37,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_37,True,,10,10,1.0,,,mary_s,,,3,surprise,,1,surprise
d_ex_seayouagain_13_38,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_38,True,,10,10,1.0,,,mary_s,,,3,surprise,,1,think
d_ex_seayouagain_13_39,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_39,True,,10,10,1.0,,,mary_s,,,3,surprise,,1,think
d_ex_seayouagain_13_40,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_40,True,,10,1,1.0,,,mary_s,,,3,surprise,,1,think
