id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_unbreakablesphere1_06_e_1,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_1,False,SilentBeach,black,black,1.0,sfx_scn_watersplash,none,,,,,,mori,1,pain,,mihara_b,3,pain,,yuni_n,5,idle,
event_unbreakablesphere1_06_e_2,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_2,False,,black,black,1.0,,,,,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_3,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_3,True,,S_10,S_100,1.0,,,mori,mori,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_4,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_4,True,,L_50,L_500,1.0,,,yuni_n,yuni_n,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_5,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_5,True,,30,300,1.0,,,mihara_b,mihara_b,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_6,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_6,False,,300,300,1.0,,,mihara_b,,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_7,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_7,True,,300,30,1.0,,,mihara_b,mihara_b,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_8,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_8,True,,30,30,1.0,,,mihara_b,mihara_b,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_9,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_9,True,,30,31,1.0,,,mori,mori,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_10,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_10,True,,31,31,1.0,,,mihara_b,mihara_b,,,,,1,pain,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_11,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_11,True,,31,31,1.0,,,mori,mori,,,,,1,think,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_12,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_12,False,,31,31,1.0,sfx_scn_earthquake,,mori,,Low_2,,,,1,think,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_13,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_13,True,,31,31,1.0,,,mori,mori,,,,,1,think,,,3,pain,,,5,idle,
event_unbreakablesphere1_06_e_14,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_14,True,,31,31,1.0,,,mihara_b,mihara_b,,,,,1,think,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_15,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_15,False,,31,31,1.0,,,mori,mori,,,,,1,think,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_16,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_16,False,,31,31,1.0,,,mori,,,,,,1,think,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_17,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_17,True,,S_10,S_100,0.5,,,mori,mori,,,,,1,angry,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_18,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_18,True,,S_100,S_100,1.0,,,mori,mori,,,,,1,angry,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_19,40075,event_unbreakablesphere1_06_e,Speech,Locale_MainScenario:event_unbreakablesphere1_06_e_19,True,,S_100,S_100,1.0,,,mori,mori,,,,,1,angry,,,3,angry,,,5,idle,
event_unbreakablesphere1_06_e_20,40075,event_unbreakablesphere1_06_e,Narration,Locale_MainScenario:event_unbreakablesphere1_06_e_20,False,,S_100,S_100,1.0,,,mori,,,,,,1,angry,,,3,angry,,,5,idle,
