id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,set_filter_01,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/2/show_char_id,characters/2/set_char_position,characters/1/hide_char_id,characters/2/hide_char_id
event_cherryblossom_01_s_1,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_1,True,sakura,1,idle,CommanderRoom,1,10,1.0,bgm_story_backtonormal,,,,,,,,,,
event_cherryblossom_01_s_2,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_2,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_3,40011,event_cherryblossom_01_s,Choice,sakura,,Locale_SubScenario:event_cherryblossom_01_s_3,False,,1,idle,,10,10,1.0,,event_cherryblossom_01_s_5,,,,,,,,,
event_cherryblossom_01_s_4,40011,event_cherryblossom_01_s,Choice,sakura,,Locale_SubScenario:event_cherryblossom_01_s_4,False,,1,idle,,10,10,1.0,,event_cherryblossom_01_s_6,,,,,,,,,
event_cherryblossom_01_s_5,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_5,True,,1,idle,,10,10,1.0,,event_cherryblossom_01_s_7,,,,,,,,,
event_cherryblossom_01_s_6,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_6,True,,1,idle,,10,10,1.0,,event_cherryblossom_01_s_7,,,,,,,,,
event_cherryblossom_01_s_7,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_7,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_8,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_8,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_9,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_9,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_10,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_10,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_11,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_11,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_12,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_12,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_13,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_13,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_14,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_14,True,,1,idle,,10,1,1.0,,,,,,,,,,,
event_cherryblossom_01_s_15,40011,event_cherryblossom_01_s,Monologue,sakura,,Locale_SubScenario:event_cherryblossom_01_s_15,False,,1,idle,none,black,black,1.0,,,sakura,,,,,,,,
event_cherryblossom_01_s_16,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_16,False,sakura,1,idle,TatamiRoom,1,1,1.0,,,,Grey,Vignetting,,,,,,
event_cherryblossom_01_s_17,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_17,False,,1,idle,,1,1,1.0,,,,Grey,Vignetting,,,,,,
event_cherryblossom_01_s_18,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_18,False,,1,idle,,1,1,1.0,,,,Grey,Vignetting,,,,,,
event_cherryblossom_01_s_19,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_19,True,,1,idle,CommanderRoom,black,black,1.0,,,,,,,,,,,
event_cherryblossom_01_s_20,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_20,True,,1,idle,,1,1,1.0,,,,,,,,,,,
event_cherryblossom_01_s_21,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_21,True,,1,idle,,1,1,1.0,,,,,,,,,,,
event_cherryblossom_01_s_22,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_22,False,,1,idle,,1,1,1.0,,,,,,,,,,,
event_cherryblossom_01_s_23,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_23,True,,1,idle,,1,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_24,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_24,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_25,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_25,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_26,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_26,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_27,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_27,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_28,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_28,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_29,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_29,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_30,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_30,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_31,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_31,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_32,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_32,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_33,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_33,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_34,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_34,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_35,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_35,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_36,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_36,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_37,40011,event_cherryblossom_01_s,Self,sakura,,Locale_SubScenario:event_cherryblossom_01_s_37,False,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_38,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_38,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_39,40011,event_cherryblossom_01_s,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_01_s_39,True,,1,idle,,10,10,1.0,,,,,,,,,,,
event_cherryblossom_01_s_40,40011,event_cherryblossom_01_s,Monologue,sakura,,Locale_SubScenario:event_cherryblossom_01_s_40,False,,1,idle,none,black,black,1.0,,,sakura,,,,,,,,
