id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_bowwowparadise_03_e_1,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_1,False,ShoppingMall,2,2,1.0,bgm_story_languor,,,biscuit,2,sad,,puppies,13,idle,
event_bowwowparadise_03_e_2,40010,event_bowwowparadise_03_e,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_03_e_2,False,,2,12,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_3,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_3,True,,12,12,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_4,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_4,True,,12,12,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_5,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_5,True,,12,12,1.0,,sfx_scn_whine,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_6,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_6,True,,12,12,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_7,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_7,True,,12,12,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_8,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_8,True,,12,12,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_9,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_9,True,,12,XS_10,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_10,40010,event_bowwowparadise_03_e,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_03_e_10,False,,XS_10,XS_130,2.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_11,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_11,True,,XS_10,XS_10,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_12,40010,event_bowwowparadise_03_e,Narration,,Narration,Locale_SubScenario:event_bowwowparadise_03_e_12,False,,XS_10,XS_10,1.0,,sfx_scn_sofasheet,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_13,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_13,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_14,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_14,False,,XS_10,12,0.3,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_15,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_15,True,,12,12,1.0,,sfx_scn_bowwow,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_16,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_16,True,,12,12,1.0,,sfx_scn_dogbark,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_17,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_17,True,,12,XS_130,1.0,,sfx_scn_bowwow,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_18,40010,event_bowwowparadise_03_e,Choice,,,Locale_SubScenario:event_bowwowparadise_03_e_18,False,,XS_130,XS_130,1.0,,,event_bowwowparadise_03_e_20,,1,idle,,,13,idle,
event_bowwowparadise_03_e_19,40010,event_bowwowparadise_03_e,Choice,,,Locale_SubScenario:event_bowwowparadise_03_e_19,False,,XS_130,XS_130,1.0,,,event_bowwowparadise_03_e_21,,1,idle,,,13,idle,
event_bowwowparadise_03_e_20,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_20,True,,XS_130,12,1.0,,,event_bowwowparadise_03_e_22,,1,delight,,,13,idle,
event_bowwowparadise_03_e_21,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_21,True,,XS_130,12,1.0,,,,,1,delight,,,13,idle,
event_bowwowparadise_03_e_22,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_22,True,,12,12,1.0,,sfx_scn_dogbark,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_23,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_23,True,,12,12,1.0,,sfx_scn_bowwow,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_24,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_24,True,,12,12,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_25,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_25,True,,12,12,1.0,,,,,1,idle,,,13,idle,
event_bowwowparadise_03_e_26,40010,event_bowwowparadise_03_e,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_03_e_26,True,,12,12,1.0,,,,,1,sad,,,13,idle,
event_bowwowparadise_03_e_27,40010,event_bowwowparadise_03_e,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_03_e_27,True,,12,12,1.0,,sfx_scn_bowwow,,,1,sad,,,13,idle,
