id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01,play_ambient,characters/0/hide_char_id,set_camera_shake,fade,play_movie
event_oldtales2_06_e_1,40062,event_oldtales2_06_e,Narration,Locale_MainScenario:event_oldtales2_06_e_1,False,cinderella,1,angry_02,abe,13,angry,hansel,15,void,gretel,17,void,littlemermaid,19,special,SpaceElevator,black,black,1.0,event_bgm_oldtales_apathwithbrokenheels,,,,,,,,,,,,,
event_oldtales2_06_e_2,40062,event_oldtales2_06_e,Speech,Locale_MainScenario:event_oldtales2_06_e_2,True,,1,angry_02,,13,angry,,15,void,,17,void,,19,special,,130,1300,0.7,,abe,abe,,,,,,,,,,,
event_oldtales2_06_e_3,40062,event_oldtales2_06_e,Speech,Locale_MainScenario:event_oldtales2_06_e_3,True,,1,angry_02,,13,angry,,15,void,,17,void,,19,special,,S_150,S_1500,1.0,,hansel,hansel,,,,,,,,,,,
event_oldtales2_06_e_4,40062,event_oldtales2_06_e,Speech,Locale_MainScenario:event_oldtales2_06_e_4,True,,1,angry_02,,13,angry,,15,void,,17,void,,19,special,,L_190,L_1900,1.0,,littlemermaid,littlemermaid,,,,,,,,,,,
event_oldtales2_06_e_5,40062,event_oldtales2_06_e,Speech,Locale_MainScenario:event_oldtales2_06_e_5,True,,1,angry_02,,13,angry,,15,void,,17,void,,19,special,,S_100,S_10,1.0,,cinderella,cinderella,,,,,,,,,,,
event_oldtales2_06_e_6,40062,event_oldtales2_06_e,Narration,Locale_MainScenario:event_oldtales2_06_e_6,False,,1,angry_02,,13,angry,,15,void,,17,void,,19,special,,S_10,S_10,1.0,,cinderella,,sfx_scn_lazerfire1,,,,,,,,,,
event_oldtales2_06_e_7,40062,event_oldtales2_06_e,Narration,Locale_MainScenario:event_oldtales2_06_e_7,False,,1,sad_02,,13,angry,,15,void,,17,void,,19,special,,S_10,S_10,1.0,,cinderella,,sfx_scn_pierce,,,,,,,,,,
event_oldtales2_06_e_8,40062,event_oldtales2_06_e,Narration,Locale_MainScenario:event_oldtales2_06_e_8,False,,1,sad_02,,13,angry,,15,void,,17,void,,19,special,,S_10,S_10,1.0,,cinderella,,sfx_scn_rapturefin,,,,,,,,,,
event_oldtales2_06_e_9,40062,event_oldtales2_06_e,Narration,Locale_MainScenario:event_oldtales2_06_e_9,False,,1,sad_02,,13,angry,,15,surprise,,17,surprise,,19,special,,S_10,S_10,1.0,,cinderella,,sfx_scn_cuttentacle,,,,,,,,,,
event_oldtales2_06_e_10,40062,event_oldtales2_06_e,Speech,Locale_MainScenario:event_oldtales2_06_e_10,True,,1,sad_02,,13,angry,,15,surprise,,17,surprise,,19,special,,S_10,S_10,1.0,,cinderella,cinderella,,,,,,,,,,,
