id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,play_movie,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_unbreakablesphere2_06_e_1,40076,event_unbreakablesphere2_06_e,Narration,Locale_MainScenario:event_unbreakablesphere2_06_e_1,False,SilentBeach,black,black,1.0,sfx_scn_mutatescream_1,event_bgm_ubsphere_unlockcodedeep,,,,,,mihara_b,1,idle,,yuni_n,3,idle,,littlemermaid,13,idle,,mori,15,think,
event_unbreakablesphere2_06_e_2,40076,event_unbreakablesphere2_06_e,Narration,Locale_MainScenario:event_unbreakablesphere2_06_e_2,False,,black,black,1.0,,,,,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_3,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_3,True,,S_1500,S_150,0.5,,,mori,mori,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_4,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_4,True,,S_150,S_150,1.0,,,mori,mori,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_5,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_5,True,,10,10,1.0,,,mihara_b,mihara_b,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_6,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_6,True,,L_30,L_30,1.0,,,yuni_n,yuni_n,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_7,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_7,True,,10,10,1.0,,,mihara_b,mihara_b,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_8,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_8,True,,S_150,S_150,1.0,,,mori,mori,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_9,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_9,True,,S_150,L_130,1.0,,,littlemermaid,littlemermaid,,,,,1,idle,,,3,idle,,,13,idle,,,15,think,
event_unbreakablesphere2_06_e_10,40076,event_unbreakablesphere2_06_e,Speech,Locale_MainScenario:event_unbreakablesphere2_06_e_10,True,,L_130,13,0.7,,,littlemermaid,littlemermaid,,,,,1,idle,,,3,idle,,,13,surprise,,,15,think,
