id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound
event_wisdomspring_06_s_1,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_1,True,jien,2,surprise,mana,12,idle,Laboratory,20,20,1.0,bgm_story_stormbreakers,,,
event_wisdomspring_06_s_2,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_2,True,,2,surprise,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_3,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_3,True,,2,think,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_4,40068,event_wisdomspring_06_s,Speech,jien,mana,Locale_SubScenario:event_wisdomspring_06_s_4,False,,2,think,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_5,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_5,True,,2,idle,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_6,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_6,True,,2,think,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_7,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_7,True,,2,idle,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_8,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_8,True,,2,idle,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_9,40068,event_wisdomspring_06_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_06_s_9,True,,2,idle,,12,idle,,20,1,1.0,,,,
event_wisdomspring_06_s_10,40068,event_wisdomspring_06_s,Self,mana,,Locale_SubScenario:event_wisdomspring_06_s_10,False,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_11,40068,event_wisdomspring_06_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_06_s_11,True,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_12,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_12,True,,2,delight,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_13,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_13,True,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_14,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_14,True,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_15,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_15,True,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_16,40068,event_wisdomspring_06_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_06_s_16,True,,2,idle,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_17,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_17,True,,2,delight,,12,idle,,1,1,1.0,,,,
event_wisdomspring_06_s_18,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_18,True,,2,delight,,12,idle,,1,20,1.0,,,,
event_wisdomspring_06_s_19,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_19,True,,2,idle,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_20,40068,event_wisdomspring_06_s,Self,jien,,Locale_SubScenario:event_wisdomspring_06_s_20,False,,2,idle,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_21,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_21,True,,2,delight,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_22,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_22,True,,2,delight,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_23,40068,event_wisdomspring_06_s,Self,jien,,Locale_SubScenario:event_wisdomspring_06_s_23,False,,2,delight,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_24,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_24,True,,2,surprise,,12,idle,,20,20,1.0,,,,
event_wisdomspring_06_s_25,40068,event_wisdomspring_06_s,Speech,jien,jien_unknown,Locale_SubScenario:event_wisdomspring_06_s_25,True,,2,surprise,,12,idle,,20,20,1.0,,,,
