id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce006_1_03_e_1,40079,event_ce006_1_03_e,Monologue,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_e_1,False,artcity_d,1,1,1.0,collab_bgm_sb_field_floodedcs_inst,,,,ce006_npc_01,2,idle,,ce006_03,12,no,,,,,,,,,,,,,,
event_ce006_1_03_e_2,40079,event_ce006_1_03_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_e_2,True,,1,1,1.0,,ce006_npc_01,,,,2,idle,,,12,no,,,,,,,,,,,,,,
event_ce006_1_03_e_3,40079,event_ce006_1_03_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_03_e_3,True,,1,1,1.0,,ce006_03,,,,2,idle,,,12,no,,,,,,,,,,,,,,
event_ce006_1_03_e_4,40079,event_ce006_1_03_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_e_4,True,,1,1,1.0,,ce006_npc_01,,,,2,idle,,,12,no,,,,,,,,,,,,,,
event_ce006_1_03_e_5,40079,event_ce006_1_03_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_e_5,True,,1,1,1.0,,ce006_npc_01,,,,2,idle,,,12,no,,,,,,,,,,,,,,
event_ce006_1_03_e_6,40079,event_ce006_1_03_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_03_e_6,True,,1,1,1.0,,ce006_03,,,,2,idle,,,12,special,,,,,,,,,,,,,,
event_ce006_1_03_e_7,40079,event_ce006_1_03_e,Monologue,ce006_03,Locale_MainScenario:event_ce006_1_03_e_7,False,,black,black,1.0,,,,,ce006_01,6,idle,ce006_npc_01,com,12,idle,ce006_03,rapi,14,idle,,roam,16,idle,anis,2,void,neon,4,idle
event_ce006_1_03_e_8,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_8,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_9,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_9,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_10,40079,event_ce006_1_03_e,Speech,anis,Locale_MainScenario:event_ce006_1_03_e_10,True,,1,1,1.0,,anis,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_11,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_11,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_12,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_12,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_13,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_13,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_14,40079,event_ce006_1_03_e,Speech,rapi,Locale_MainScenario:event_ce006_1_03_e_14,True,,1,13,1.3,,rapi,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_15,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_15,True,,13,13,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,angry,,4,idle
event_ce006_1_03_e_16,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_16,True,,13,13,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_17,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_17,True,,13,120,1.3,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_18,40079,event_ce006_1_03_e,Speech,neon,Locale_MainScenario:event_ce006_1_03_e_18,True,,S_40,S_40,1.0,,neon,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_19,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_19,False,,120,120,1.3,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_20,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_20,True,,120,120,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_21,40079,event_ce006_1_03_e,Speech,anis,Locale_MainScenario:event_ce006_1_03_e_21,True,,120,1,1.3,,anis,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,no,,4,idle
event_ce006_1_03_e_22,40079,event_ce006_1_03_e,Speech,anis,Locale_MainScenario:event_ce006_1_03_e_22,True,,1,1,1.0,,anis,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_23,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_23,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_24,40079,event_ce006_1_03_e,Speech,com,Locale_MainScenario:event_ce006_1_03_e_24,True,,1,1,1.0,,com,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
event_ce006_1_03_e_25,40079,event_ce006_1_03_e,Self,com,Locale_MainScenario:event_ce006_1_03_e_25,False,,1,1,1.0,,,,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,2,void,,4,idle
