id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_exnii1_07_e_1,40070,event_exnii1_07_e,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii1_07_e_1,True,ocean_r_2,event_exnii_talk_01,event_exnii_talk_01,1.0,event_bgm_ce004_nereculepas,,,,,rapi,5,idle,,anis,3,idle,,neon,1,idle,,,,,,,,,,shifty_r,OP_rightup,angry,,,,,
event_exnii1_07_e_2,40070,event_exnii1_07_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_07_e_2,True,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,5,idle,,,3,worry,,,1,idle,,,,,,,,,,,OP_rightup,angry,shifty_r,,,,
event_exnii1_07_e_3,40070,event_exnii1_07_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_e_3,True,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,5,idle,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_4,40070,event_exnii1_07_e,Speech,neon,neon,Locale_SubScenario:event_exnii1_07_e_4,True,,event_exnii_talk_01,10,1.0,,,,,,,5,idle,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_5,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_5,False,EventScene_ce005_01_6,1,1,1.0,,black,,,,,5,idle,rapi,,3,idle,anis,,1,surprise,neon,,,,,,,,,,,,,,,,
event_exnii1_07_e_6,40070,event_exnii1_07_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_07_e_6,True,,1,event_exnii1_03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_7,40070,event_exnii1_07_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_e_7,True,,event_exnii1_03,event_exnii1_03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_8,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_8,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_9,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_9,False,EventScene_ce005_06_6,1,1,1.0,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_10,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_10,False,,black,black,1.0,,,sfx_scn_explosionhuge,Low_2,,neon,5,idle,,anis,3,idle,,rapi,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_11,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_11,False,EventScene_ce005_01_7,1,1,1.0,,white,,,,,5,idle,neon,,3,idle,anis,,1,idle,rapi,,,,,,,,,,,,,,,,
event_exnii1_07_e_12,40070,event_exnii1_07_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_e_12,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_13,40070,event_exnii1_07_e,Self,rapi,,Locale_SubScenario:event_exnii1_07_e_13,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_07_e_14,40070,event_exnii1_07_e,Speech,ce005_01_op_c,ce005_01_op_c,Locale_SubScenario:event_exnii1_07_e_14,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,ce005_01_op_c,OP_centerup,battle,,,,,
event_exnii1_07_e_15,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_15,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,OP_centerup,battle,ce005_01_op_c,,,,
event_exnii1_07_e_16,40070,event_exnii1_07_e,Speech,helm_op_l,helm_op_l,Locale_SubScenario:event_exnii1_07_e_16,True,ocean_r_2,event_exnii_talk_04,event_exnii_talk_04,1.0,,black,,,,neon,5,idle,,anis,3,idle,,rapi,1,idle,,,,,,,,,,helm_op_l,OP_leftup,idle,,,,,
event_exnii1_07_e_17,40070,event_exnii1_07_e,Self,rapi,,Locale_SubScenario:event_exnii1_07_e_17,False,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,OP_leftup,idle,,,,,
event_exnii1_07_e_18,40070,event_exnii1_07_e,Self,rapi,,Locale_SubScenario:event_exnii1_07_e_18,False,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,OP_leftup,idle,,,,,
event_exnii1_07_e_19,40070,event_exnii1_07_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_e_19,True,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,OP_leftup,idle,helm_op_l,,,,
event_exnii1_07_e_20,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_20,False,,black,black,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_21,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_21,False,,black,black,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_22,40070,event_exnii1_07_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_07_e_22,True,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_23,40070,event_exnii1_07_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_e_23,True,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,,,",",,,
event_exnii1_07_e_24,40070,event_exnii1_07_e,Speech,neon,neon,Locale_SubScenario:event_exnii1_07_e_24,True,,event_exnii_talk_04,5,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,ce005_02,16,idle,,,,,,,,,,,,,
event_exnii1_07_e_25,40070,event_exnii1_07_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_07_e_25,True,,5,event_exnii_talk_09,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
event_exnii1_07_e_26,40070,event_exnii1_07_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_07_e_26,True,,event_exnii_talk_09,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
event_exnii1_07_e_27,40070,event_exnii1_07_e,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii1_07_e_27,True,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,shifty_r,OP_rightup,angry,,,,,
event_exnii1_07_e_28,40070,event_exnii1_07_e,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii1_07_e_28,True,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,OP_rightup,angry,,,,,
event_exnii1_07_e_29,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_29,False,EventScene_ce005_06_6,1,1,1.0,,black,sfx_scn_cannonbeam,Low_2,,,5,idle,neon,,3,idle,anis,,1,idle,rapi,,13,idle,ce005_02,,,,,,OP_rightup,angry,shifty_r,,,,
event_exnii1_07_e_30,40070,event_exnii1_07_e,Narration,,,Locale_SubScenario:event_exnii1_07_e_30,False,,1,1,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,,
event_exnii1_07_e_31,40070,event_exnii1_07_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_07_e_31,True,ocean_r_2,3,3,1.0,,black,,,,neon,5,idle,,anis,3,idle,,rapi,1,idle,,ce005_02,13,idle,,,,,,,,,,,,,
event_exnii1_07_e_32,40070,event_exnii1_07_e,Speech,neon,neon,Locale_SubScenario:event_exnii1_07_e_32,True,,3,5,1.0,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
