id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id
event_forrest_04_s_1,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_1,False,land_s,black,black,1.0,bgm_story_sceneofmemory,Vignetting,,,,,,,,,,,
event_forrest_04_s_2,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_2,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_forrest_04_s_3,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_3,False,,6,1,1.0,,Vignetting,,,,,,,,,,,
event_forrest_04_s_4,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_4,False,,1,1,1.0,,Vignetting,,,,,,,,,,,
event_forrest_04_s_5,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_5,True,,1,10,1.0,,Vignetting,linne,linne,linne,1,idle,,,,,,
event_forrest_04_s_6,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_6,False,,10,10,1.0,,Vignetting,linne,,,1,idle,,,,,,
event_forrest_04_s_7,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_7,True,,10,10,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_8,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_8,True,,10,10,1.0,,Vignetting,trina,trina,,1,idle,,,,,,
event_forrest_04_s_9,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_9,True,,10,10,1.0,,Vignetting,trina,trina,,1,idle,,,,,,
event_forrest_04_s_10,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_10,True,,10,10,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_11,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_11,True,,10,10,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_12,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_12,False,,10,6,1.0,,Vignetting,linne,,,1,idle,,,,,,
event_forrest_04_s_13,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_13,True,,6,6,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_14,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_14,True,,6,6,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_15,40072,event_forrest_04_s,Speech,Locale_SubScenario:event_forrest_04_s_15,True,,6,6,1.0,,Vignetting,linne,linne,,1,idle,,,,,,
event_forrest_04_s_16,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_16,False,,6,6,1.0,,Vignetting,linne,,,1,idle,,,,,,
event_forrest_04_s_17,40072,event_forrest_04_s,Narration,Locale_SubScenario:event_forrest_04_s_17,False,,6,6,1.0,,Vignetting,linne,,,1,idle,,,,,,
