id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_perfectmaid_02_s_1,40039,event_perfectmaid_02_s,Narration,Locale_SubScenario:event_perfectmaid_02_s_1,False,Hospital,1,1,1.0,sfx_scn_autodooropen,bgm_story_sunshinesorrow,,,,ade,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_2,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_2,False,,1,1,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_3,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_3,False,,1,10,1.0,,,ade,ade,,,1,shy,,,,,,,,,,,,,,,
event_perfectmaid_02_s_4,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_4,True,,10,10,1.0,,,ade,ade,,,1,shy,,,,,,,,,,,,,,,
event_perfectmaid_02_s_5,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_5,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_6,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_6,False,,10,10,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_7,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_7,False,,10,10,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_8,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_8,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_9,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_9,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_10,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_10,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_11,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_11,True,,100,100,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_12,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_12,True,,100,100,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_13,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_13,False,,100,100,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_14,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_14,True,,100,100,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_15,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_15,True,,100,100,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_16,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_16,True,,100,100,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_17,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_17,False,,100,100,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_18,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_18,False,,100,100,1.0,,,,,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_19,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_19,True,,100,10,1.0,,,ade,ade,,,1,shy,,,,,,,,,,,,,,,
event_perfectmaid_02_s_20,40039,event_perfectmaid_02_s,Self,Locale_SubScenario:event_perfectmaid_02_s_20,False,,10,10,1.0,,,,,,,1,shy,,,,,,,,,,,,,,,
event_perfectmaid_02_s_21,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_21,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_22,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_22,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_23,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_23,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_24,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_24,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
event_perfectmaid_02_s_25,40039,event_perfectmaid_02_s,Speech,Locale_SubScenario:event_perfectmaid_02_s_25,True,,10,10,1.0,,,ade,ade,,,1,worried,,,,,,,,,,,,,,,
