id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id
event_jinxplayer_03_s_1,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_1,True,rouge,3,surprise,noir,7,idle,blanc,5,idle,Park,L_50,L_50,1.0,none,,
event_jinxplayer_03_s_2,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_2,True,,3,surprise,,7,idle,,5,idle,,L_70,L_70,1.0,bgm_story_backtonormal,,
event_jinxplayer_03_s_3,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_3,True,,3,surprise,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_4,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_4,True,,3,surprise,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_5,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_5,True,,3,surprise,,7,idle,,5,idle,,L_50,L_50,1.0,,,
event_jinxplayer_03_s_6,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_6,True,,3,surprise,,7,idle,,5,idle,,L_50,L_50,1.0,,,
event_jinxplayer_03_s_7,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_7,True,,3,surprise,,7,idle,,5,idle,,L_50,L_50,1.0,,,
event_jinxplayer_03_s_8,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_8,True,,3,surprise,,7,idle,,5,idle,,L_50,L_70,1.0,,,
event_jinxplayer_03_s_9,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_9,True,,3,surprise,,7,idle,,5,idle,,L_70,L_70,1.0,,,
event_jinxplayer_03_s_10,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_10,True,,3,surprise,,7,idle,,5,idle,,L_70,L_70,1.0,,,
event_jinxplayer_03_s_11,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_11,True,,3,surprise,,7,idle,,5,no,,L_70,6,1.0,,,
event_jinxplayer_03_s_12,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_12,True,,3,surprise,,7,idle,,5,no,,6,6,1.0,,,
event_jinxplayer_03_s_13,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_13,True,,3,surprise,,7,idle,,5,no,,6,6,1.0,,,
event_jinxplayer_03_s_14,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_14,True,,3,surprise,,7,idle,,5,no,,6,6,1.0,,,
event_jinxplayer_03_s_15,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_15,True,,3,think,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_16,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_16,True,,3,sad,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_17,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_17,True,,3,sad,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_18,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_18,True,,3,sad,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_19,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_19,True,,3,sad,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_20,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_20,True,,3,sad,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_21,40058,event_jinxplayer_03_s,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_03_s_21,True,,3,think,,7,idle,,5,idle,,30,30,1.0,,,
event_jinxplayer_03_s_22,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_22,True,,3,think,,7,idle,,5,no,,L_50,L_50,1.0,,,
event_jinxplayer_03_s_23,40058,event_jinxplayer_03_s,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_03_s_23,True,,3,think,,7,surprise,,5,no,,L_70,L_70,1.0,,,
event_jinxplayer_03_s_24,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_24,True,,3,think,,7,surprise,,5,think,,L_50,L_50,1.0,,,
event_jinxplayer_03_s_25,40058,event_jinxplayer_03_s,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_03_s_25,True,,3,think,,7,surprise,,5,idle,,L_50,L_50,1.0,,,
