id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_foolburstday_09_1,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_1,True,CityForest_01,S_300,S_30,1.0,bgm_story_cottoncandy,mechashifty,1,idle,shifty_s,3,idle
event_foolburstday_09_2,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_2,True,,S_30,S_30,1.0,,,1,idle,,3,idle
event_foolburstday_09_3,130007,event_foolburstday_09,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_09_3,True,,S_30,S_10,1.0,,,1,idle,,3,idle
event_foolburstday_09_4,130007,event_foolburstday_09,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_09_4,True,,S_10,S_10,1.0,,,1,idle,,3,idle
event_foolburstday_09_5,130007,event_foolburstday_09,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_09_5,True,,S_10,S_10,1.0,,,1,idle,,3,idle
event_foolburstday_09_6,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_6,True,,S_10,S_30,1.0,,,1,idle,,3,delight
event_foolburstday_09_7,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_7,True,,S_30,S_30,1.0,,,1,idle,,3,delight
event_foolburstday_09_8,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_8,True,,S_30,S_30,1.0,,,1,idle,,3,idle
event_foolburstday_09_9,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_9,True,,S_30,S_30,1.0,,,1,idle,,3,idle
event_foolburstday_09_10,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_10,True,,S_30,S_30,1.0,,,1,idle,,3,idle
event_foolburstday_09_11,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_11,True,,S_30,S_30,1.0,,,1,idle,,3,delight
event_foolburstday_09_12,130007,event_foolburstday_09,Self,,,Locale_SubScenario:event_foolburstday_09_12,False,,S_30,S_30,1.0,,,1,idle,,3,delight
event_foolburstday_09_13,130007,event_foolburstday_09,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_09_13,True,,S_30,31,1.0,,,1,idle,,3,idle
event_foolburstday_09_14,130007,event_foolburstday_09,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_09_14,True,,31,31,1.0,,,1,idle,,3,delight
event_foolburstday_09_15,130007,event_foolburstday_09,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_09_15,True,,31,31,1.0,,,1,idle,,3,delight
