id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_hightechtoy_06_e_1,40002,event_hightechtoy_06_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_06_e_1,True,CityForest_03,31,31,1.0,bgm_story_armageddon,,,,,laplace,1,no,,drake,3,angry,maxwell_w,5,idle,massproduction01,13,idle
event_hightechtoy_06_e_2,40002,event_hightechtoy_06_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_2,True,,31,31,1.0,,,,,,,1,no,,,3,angry,,5,idle,,13,idle
event_hightechtoy_06_e_3,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_3,True,,13,13,1.0,,,,,,,1,no,,,3,angry,,5,idle,,13,idle
event_hightechtoy_06_e_4,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_4,True,,13,130,0.5,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_5,40002,event_hightechtoy_06_e,Monologue,massproduction01,,Locale_SubScenario:event_hightechtoy_06_e_5,False,,130,113,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_6,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_6,True,,113,113,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_7,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_7,True,,113,113,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_8,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_8,True,,113,130,2.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_9,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_9,True,,130,130,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_10,40002,event_hightechtoy_06_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_10,True,,S_10,S_10,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_11,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_11,True,,S_10,S_10,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_12,40002,event_hightechtoy_06_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_12,True,,S_10,S_10,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_13,40002,event_hightechtoy_06_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_06_e_13,True,,S_10,S_100,0.5,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_14,40002,event_hightechtoy_06_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_06_e_14,False,,130,130,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_15,40002,event_hightechtoy_06_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_06_e_15,True,,50,50,1.0,,,,,,,1,no,,,3,idle,,5,idle,,13,idle
event_hightechtoy_06_e_16,40002,event_hightechtoy_06_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_06_e_16,True,,30,30,1.0,,,,,,,1,no,,,3,delight,,5,idle,,13,idle
event_hightechtoy_06_e_17,40002,event_hightechtoy_06_e,Self,drake,,Locale_SubScenario:event_hightechtoy_06_e_17,False,,30,30,1.0,,,,,,,1,no,,,3,delight,,5,idle,,13,idle
