id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade,play_sound,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_alonesurvivor_06_s_1,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_1,True,tove,1,special,IceLand_01,S_10,S_10,1.0,none,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_2,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_2,True,,1,special,,S_10,S_10,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_3,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_3,True,,1,special,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_4,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_4,True,,1,special,,S_10,1,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_5,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_5,True,,1,special,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_6,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_6,True,,1,special,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_7,40033,event_alonesurvivor_06_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_06_s_7,False,,1,special,,black,black,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_8,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_8,True,,1,idle,,1,S_10,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_9,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_9,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_10,40033,event_alonesurvivor_06_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_06_s_10,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_11,40033,event_alonesurvivor_06_s,Narration,,Narration,Locale_SubScenario:event_alonesurvivor_06_s_11,False,,1,idle,,17,170,0.3,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_12,40033,event_alonesurvivor_06_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_06_s_12,False,,1,idle,,170,170,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_13,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_13,True,,1,no,,S_10,S_100,0.5,,Low_2,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_14,40033,event_alonesurvivor_06_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_06_s_14,False,,1,no,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_15,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_15,False,,1,sad,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,
event_alonesurvivor_06_s_16,40033,event_alonesurvivor_06_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_06_s_16,True,,1,special,,S_100,S_10,1.0,,,,,,,,,,,,,,,,,,,
