id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,play_sound,fade,characters/0/hide_char_id,characters/2/hide_char_id
event_colorless_02_e_1,40054,event_colorless_02_e,Narration,Locale_SubScenario:event_colorless_02_e_1,False,Classroom,1,1,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,
event_colorless_02_e_2,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,
event_colorless_02_e_3,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_3,True,,1,10,1.0,,ein,ein,ein,1,idle,,,,,,,,,,,
event_colorless_02_e_4,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_4,True,,10,10,1.0,,ein,ein,,1,idle,,,,,,,,,,,
event_colorless_02_e_5,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_5,False,,10,10,1.0,,ein,,,1,idle,,,,,,,,,,,
event_colorless_02_e_6,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_6,True,,10,10,1.0,,ein,ein,,1,surprise,,,,,,,,,,,
event_colorless_02_e_7,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_7,True,,10,5,1.0,,ein,ein,,1,surprise,,,,,,,,,,,
event_colorless_02_e_8,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_8,False,,5,5,1.0,,ein,rei,,1,surprise,,,,,,,,,,,
event_colorless_02_e_9,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_9,True,,5,10,1.0,,ein,ein,,1,idle,,,,,,,,,,,
event_colorless_02_e_10,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_10,True,,10,10,1.0,,ein,ein,,1,delight,,,,,,,,,,,
event_colorless_02_e_11,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_11,True,,3,S_30,1.0,,privaty,privaty,,1,delight,privaty,3,surprise,,,,,,,,
event_colorless_02_e_12,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_12,True,,S_30,S_30,1.0,,privaty,privaty,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_13,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_13,True,,S_30,S_30,1.0,,privaty,privaty,,1,delight,,3,shy,,,,,,,,
event_colorless_02_e_14,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_14,False,,S_30,S_30,1.0,,privaty,,,1,delight,,3,shy,,,,,,,,
event_colorless_02_e_15,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_15,False,,S_30,S_30,1.0,,privaty,,,1,delight,,3,shy,,,,,,,,
event_colorless_02_e_16,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_16,True,,S_30,S_30,1.0,,privaty,privaty,,1,delight,,3,shy,,,,,,,,
event_colorless_02_e_17,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_17,True,,S_30,S_30,1.0,,privaty,privaty,,1,delight,,3,idle,,,,,,,,
event_colorless_02_e_18,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_18,True,,S_30,S_300,0.7,,privaty,privaty,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_19,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_19,True,,S_300,S_300,1.0,,privaty,privaty,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_20,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_20,True,,S_300,S_300,1.0,,privaty,privaty,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_21,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_21,False,,S_300,S_300,1.0,,privaty,,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_22,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_22,False,,S_300,S_300,1.0,,privaty,,,1,delight,,3,surprise,,,,,,,,
event_colorless_02_e_23,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_23,True,,130,130,1.0,,zwei,zwei,,1,delight,,3,surprise,zwei,13,idle,,,,,
event_colorless_02_e_24,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_24,False,,130,130,1.0,,zwei,,,1,delight,,3,surprise,,13,idle,,,,,
event_colorless_02_e_25,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_25,True,,130,130,1.0,,zwei,zwei,,1,delight,,3,surprise,,13,idle,,,,,
event_colorless_02_e_26,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_26,True,,130,130,1.0,,zwei,zwei,,1,delight,,3,idle,,13,idle,,,,,
event_colorless_02_e_27,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_27,True,,130,130,1.0,,zwei,zwei,,1,delight,,3,idle,,13,idle,,,,,
event_colorless_02_e_28,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_28,True,,130,12,1.0,,ein,ein,,1,idle,,3,idle,,13,idle,,,,,
event_colorless_02_e_29,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_29,True,,12,12,1.0,,ein,ein,,1,idle,,3,idle,,13,idle,,,,,
event_colorless_02_e_30,40054,event_colorless_02_e,Speech,Locale_SubScenario:event_colorless_02_e_30,True,,12,12,1.0,,zwei,zwei,,1,idle,,3,idle,,13,idle,,,,,
event_colorless_02_e_31,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_31,False,,12,12,1.0,,zwei,,,1,idle,,3,idle,,13,idle,,,,,
event_colorless_02_e_32,40054,event_colorless_02_e,Self,Locale_SubScenario:event_colorless_02_e_32,False,,12,12,1.0,,zwei,,,1,idle,,3,idle,,13,idle,,,,,
