id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_outofuniform_01_1,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_1,False,CommanderRoom,1,1,1.0,bgm_story_overjoy,,,,,,,,,,,,
event_outofuniform_01_2,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_2,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_3,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_3,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_4,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_4,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_5,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_5,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_6,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_6,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_7,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_7,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_8,130006,event_outofuniform_01,Narration,Locale_SubScenario:event_outofuniform_01_8,False,,1,1,1.0,none,sfx_scn_heavywoodknock,,,,,,,,,,,
event_outofuniform_01_9,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_9,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_10,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_10,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_11,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_11,True,,1,1,1.0,,,ein,,,,,,,,,,
event_outofuniform_01_12,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_12,True,,1,1,1.0,,,ein,,,,,,,,,,
event_outofuniform_01_13,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_13,True,,1,1,1.0,,,zwei,,,,,,,,,,
event_outofuniform_01_14,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_14,True,,1,1,1.0,,,ein,,,,,,,,,,
event_outofuniform_01_15,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_15,True,,1,1,1.0,,,ein,,,,,,,,,,
event_outofuniform_01_16,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_16,False,,1,1,1.0,,,,,,,,,,,,,
event_outofuniform_01_17,130006,event_outofuniform_01,Narration,Locale_SubScenario:event_outofuniform_01_17,False,,1,1,1.0,,sfx_scn_autodooropen,,ein,ein,2,surprise,zwei,12,idle,,,
event_outofuniform_01_18,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_18,True,,1,1,1.0,bgm_story_luckybreak,,ein,ein,,2,surprise,,12,idle,,,
event_outofuniform_01_19,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_19,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_20,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_20,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_21,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_21,False,,1,1,1.0,,,,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_22,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_22,False,,1,1,1.0,,,,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_23,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_23,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_24,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_24,True,,1,20,1.0,,,ein,ein,,2,surprise,,12,idle,,,
event_outofuniform_01_25,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_25,True,,20,20,1.0,,,ein,ein,,2,surprise,,12,idle,,,
event_outofuniform_01_26,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_26,True,,20,20,1.0,,,ein,ein,,2,surprise,,12,idle,,,
event_outofuniform_01_27,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_27,True,,20,120,1.3,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_28,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_28,True,,120,120,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_29,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_29,False,,120,120,1.0,,,,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_30,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_30,True,,120,1,1.0,,,ein,ein,,2,surprise,,12,idle,,,
event_outofuniform_01_31,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_31,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_32,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_32,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_33,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_33,False,,1,1,1.0,,,,zwei,,2,surprise,,12,idle,,,
event_outofuniform_01_34,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_34,True,,1,1,1.0,,,zwei,zwei,,2,surprise,,12,pain,,,
event_outofuniform_01_35,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_35,True,,1,1,1.0,,,ein,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_36,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_36,True,,1,1,1.0,,,ein,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_37,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_37,False,,1,1,1.0,,,,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_38,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_38,True,,1,1,1.0,,,ein,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_39,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_39,True,,1,1,1.0,,,ein,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_40,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_40,False,,1,1,1.0,,,,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_41,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_41,True,,1,20,1.0,,,ein,ein,,2,surprise,,12,pain,,,
event_outofuniform_01_42,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_42,True,,20,200,1.0,,,ein,ein,,2,shy,,12,idle,,,
event_outofuniform_01_43,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_43,False,,200,1200,1.5,,,,zwei,,2,shy,,12,idle,,,
event_outofuniform_01_44,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_44,False,,1200,1200,1.0,,,zwei,zwei,,2,shy,,12,shy,,,
event_outofuniform_01_45,130006,event_outofuniform_01,Monologue,Locale_SubScenario:event_outofuniform_01_45,False,,1200,1200,1.0,,,,zwei,,2,shy,,12,shy,,,
event_outofuniform_01_46,130006,event_outofuniform_01,Self,Locale_SubScenario:event_outofuniform_01_46,False,,1200,1,1.3,,,,zwei,,2,shy,,12,shy,,,
event_outofuniform_01_47,130006,event_outofuniform_01,Speech,Locale_SubScenario:event_outofuniform_01_47,True,,1,1,1.0,,,ein,ein,,2,shy,,12,shy,,,
