id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,fade
event_boomsday_06_s_1,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_1,True,elegg,3,idle,trony,1,idle,TechIndoor_n,2,2,1.0,none,,,,,
event_boomsday_06_s_2,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_2,True,,3,idle,,1,idle,,2,2,1.0,bgm_frostpillar,,,,,
event_boomsday_06_s_3,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_3,False,,3,idle,,1,think,,2,10,1.0,,,,,,
event_boomsday_06_s_4,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_4,True,,3,idle,,1,think,,10,10,1.0,,,,,,
event_boomsday_06_s_5,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_5,True,,3,worry,,1,think,,10,10,1.0,,,,,,
event_boomsday_06_s_6,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_6,True,,3,worry,,1,sad,,10,10,1.0,,,,,,
event_boomsday_06_s_7,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_7,True,,3,worry,,1,sad,,10,10,1.0,,,,,,
event_boomsday_06_s_8,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_8,True,,3,think,,1,sad,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_9,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_9,True,,3,think,,1,sad,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_10,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_10,True,,3,idle,,1,sad,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_11,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_11,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_12,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_12,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_13,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_13,True,,3,think,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_14,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_14,True,,3,think,,1,surprise,,S_30,2,1.0,,,,,,
event_boomsday_06_s_15,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_15,True,,3,think,,1,surprise,,2,2,1.0,,,,,,
event_boomsday_06_s_16,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_16,True,,3,think,,1,surprise,,2,2,1.0,,,,,,
event_boomsday_06_s_17,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_17,True,,3,worry,,1,surprise,,2,2,1.0,,,,,,
event_boomsday_06_s_18,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_18,True,,3,worry,,1,surprise,,2,2,1.0,,,,,,
event_boomsday_06_s_19,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_19,True,,3,think,,1,surprise,,2,2,1.0,,,,,,
event_boomsday_06_s_20,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_20,True,,3,think,,1,no,,2,2,1.0,,,,,,
event_boomsday_06_s_21,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_21,True,,3,idle,,1,no,,2,2,1.0,,,,,,
event_boomsday_06_s_22,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_22,True,,3,idle,,1,think,,2,2,1.0,,,,,,
event_boomsday_06_s_23,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_23,True,,3,delight,,1,think,,2,2,1.0,,,,,,
event_boomsday_06_s_24,40040,event_boomsday_06_s,Narration,,,Locale_SubScenario:event_boomsday_06_s_24,False,,3,delight,,1,think,,2,2,1.0,,,,,,
event_boomsday_06_s_25,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_25,True,,3,delight,,1,idle,,2,S_30,1.0,,,,,,
event_boomsday_06_s_26,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_26,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_27,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_27,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_28,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_28,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_29,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_29,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_30,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_30,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_31,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_31,True,,3,worry,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_32,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_32,True,,3,idle,,1,idle,,S_30,S_300,1.0,,,,,,
event_boomsday_06_s_33,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_33,True,,3,idle,,1,idle,,S_300,S_300,1.0,,,,,,
event_boomsday_06_s_34,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_34,True,,3,idle,,1,idle,,S_300,S_300,1.0,,,,,,
event_boomsday_06_s_35,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_35,True,,3,idle,,1,idle,,S_300,S_300,1.0,,,,,,
