id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_03_1,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_1,True,LogHouseOut_d,5,XS_50,0.5,none,,,anis_s,5,no,,neon_s,3,idle,,liter_s,1,no
d_ex_seayouagain_03_2,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_2,True,,XS_50,XS_50,1.0,bgm_story_languor,,,,5,no,,,3,idle,,,1,no
d_ex_seayouagain_03_3,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_3,False,,1,XS_10,0.5,,,,,5,no,,,3,idle,,,1,no
d_ex_seayouagain_03_4,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_4,True,,3,XS_30,0.5,,,,,5,idle,,,3,idle,,,1,no
d_ex_seayouagain_03_5,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_5,True,,XS_30,XS_30,1.0,,,,,5,idle,,,3,idle,,,1,no
d_ex_seayouagain_03_6,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_6,True,,1,XS_10,0.5,,,,,5,idle,,,3,idle,,,1,angry
d_ex_seayouagain_03_7,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_7,True,,XS_10,XS_10,1.0,,,,,5,idle,,,3,idle,,,1,sorrow
d_ex_seayouagain_03_8,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_8,True,,XS_10,2,1.0,,,,,5,idle,,,3,delight,,,1,sorrow
d_ex_seayouagain_03_9,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_9,True,,2,2,1.0,,,,,5,idle,,,3,delight,,,1,idle
d_ex_seayouagain_03_10,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_10,True,,2,2,1.0,,,,,5,idle,,,3,idle,,,1,sorrow
d_ex_seayouagain_03_11,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_11,True,,2,5,1.0,,,,,5,idle,,,3,idle,,,1,sorrow
d_ex_seayouagain_03_12,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_12,True,,5,5,1.0,,,,,5,idle,,,3,idle,,,1,idle
d_ex_seayouagain_03_13,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_13,True,,5,XS_50,0.7,,,,,5,delight,,,3,idle,,,1,idle
d_ex_seayouagain_03_14,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_14,True,,XS_50,XS_500,0.7,,,,,5,delight,,,3,idle,,,1,idle
d_ex_seayouagain_03_15,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_15,True,,XS_500,XS_500,1.0,,,,,5,idle,,,3,idle,,,1,idle
d_ex_seayouagain_03_16,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_16,True,,XS_500,XS_50,0.7,,,,,5,void,,,3,idle,,,1,idle
d_ex_seayouagain_03_17,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_17,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle,,,1,idle
d_ex_seayouagain_03_18,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_18,True,,XS_50,4,1.0,,,,,5,idle,,,3,surprise,,,1,idle
d_ex_seayouagain_03_19,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_19,True,,4,4,1.0,,,,,5,idle,,,3,surprise,,,1,idle
d_ex_seayouagain_03_20,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_20,True,,4,4,1.0,,,,,5,idle,,,3,idle,,,1,idle
d_ex_seayouagain_03_21,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_21,True,,4,4,1.0,,,,,5,no,,,3,idle,,,1,idle
d_ex_seayouagain_03_22,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_22,True,,4,4,1.0,,,,,5,void,,,3,idle,,,1,idle
d_ex_seayouagain_03_23,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_23,True,,4,4,1.0,,,,,5,void,,,3,idle,,,1,idle
d_ex_seayouagain_03_24,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_24,True,,4,4,1.0,,,,,5,void,,,3,angry,,,1,idle
d_ex_seayouagain_03_25,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_25,True,,4,4,1.0,,,,,5,void,,,3,angry,,,1,idle
d_ex_seayouagain_03_26,80600,d_ex_seayouagain_03,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_03_26,True,,4,4,1.0,,,,,5,void,,,3,no,,,1,idle
d_ex_seayouagain_03_27,80600,d_ex_seayouagain_03,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_03_27,True,,4,4,1.0,,,,,5,angry,,,3,no,,,1,idle
d_ex_seayouagain_03_28,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_28,True,,1,XS_10,0.5,,Low_2,,,5,angry,,,3,no,,,1,angry
d_ex_seayouagain_03_29,80600,d_ex_seayouagain_03,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_03_29,True,,XS_10,XS_10,1.0,,,,,5,idle,,,3,idle,,,1,sorrow
