id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_ce006_1_01_s_1,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_1,False,CommanderRoom,black,black,1.0,bgm_story_backtonormal,,,,,rapi,12,idle,,anis,2,void,,neon,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_2,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_2,False,,16,16,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_3,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_3,False,,16,16,1.0,,sfx_scn_phonevibrationmany,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_4,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_4,False,,16,16,1.0,,sfx_scn_phonevibrationmany,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_5,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_5,False,,16,16,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_6,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_6,True,,16,1,2.0,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_7,40079,event_ce006_1_01_s,Speech,anis,Locale_MainScenario:event_ce006_1_01_s_7,True,,1,1,1.0,,,anis,,,,12,idle,,,2,worry,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_8,40079,event_ce006_1_01_s,Speech,neon,Locale_MainScenario:event_ce006_1_01_s_8,True,,1,3,1.3,,,neon,,,,12,idle,,,2,worry,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_9,40079,event_ce006_1_01_s,Self,neon,Locale_MainScenario:event_ce006_1_01_s_9,False,,3,3,1.0,,,,,,,12,idle,,,2,worry,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_10,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_10,True,,3,1,1.3,,,rapi,,,,12,idle,,,2,worry,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_11,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_11,False,,1,1,1.0,,sfx_scn_phonevibrationmany,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_12,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_12,True,,1,1,1.0,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_13,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_13,True,,1,1,1.0,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_14,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_14,False,,1,1,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_15,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_15,True,,1,1,1.0,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_16,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_16,False,,1,1,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_17,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_17,False,,1,1,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_18,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_18,False,,1,1,1.0,,,rapi,,,,12,think,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_19,40079,event_ce006_1_01_s,Speech,anis,Locale_MainScenario:event_ce006_1_01_s_19,True,,1,1,1.0,,,anis,,,,12,think,,,2,worry,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_20,40079,event_ce006_1_01_s,Speech,neon,Locale_MainScenario:event_ce006_1_01_s_20,True,,1,3,1.3,,,neon,,,,12,think,,,2,worry,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_21,40079,event_ce006_1_01_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_01_s_21,False,,black,black,1.0,,,,,,,12,idle,,,2,worry,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_22,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_22,False,,120,120,1.0,,sfx_scn_phonevibrationmany,,,,,12,idle,,,2,worry,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_23,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_23,True,,120,120,1.0,,,rapi,,,,12,idle,,,2,worry,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_24,40079,event_ce006_1_01_s,Speech,anis,Locale_MainScenario:event_ce006_1_01_s_24,True,,120,1,1.3,,,anis,,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_25,40079,event_ce006_1_01_s,Speech,anis,Locale_MainScenario:event_ce006_1_01_s_25,True,,1,1,1.0,,,anis,,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_26,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_26,False,,1,1,1.0,,,rapi,,,,12,think,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_27,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_27,True,,1,1,1.0,,,rapi,,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_28,40079,event_ce006_1_01_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_01_s_28,False,,1,1,1.0,,,,,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_29,40079,event_ce006_1_01_s,Narration,rapi,Locale_MainScenario:event_ce006_1_01_s_29,False,,1,1,1.0,none,sfx_scn_phonevibrationmany,,,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_30,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_30,False,,1,1,1.0,,,,m_event_ce006_1_01,,,12,idle,,,2,delight,,,4,worry,,,,,,,,,,,,,
event_ce006_1_01_s_31,40079,event_ce006_1_01_s,Speech,neon,Locale_MainScenario:event_ce006_1_01_s_31,True,,1,3,1.3,,,neon,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_32,40079,event_ce006_1_01_s,Speech,anis,Locale_MainScenario:event_ce006_1_01_s_32,True,,3,3,1.0,,,anis,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_33,40079,event_ce006_1_01_s,Self,anis,Locale_MainScenario:event_ce006_1_01_s_33,False,,3,3,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_34,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_34,True,,3,120,1.3,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_35,40079,event_ce006_1_01_s,Self,rapi,Locale_MainScenario:event_ce006_1_01_s_35,False,,120,120,1.0,,,,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
event_ce006_1_01_s_36,40079,event_ce006_1_01_s,Speech,rapi,Locale_MainScenario:event_ce006_1_01_s_36,False,,120,120,1.0,,,rapi,,,,12,idle,,,2,void,,,4,idle,,,,,,,,,,,,,
