id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,jump_target,set_filter_01
event_onemoretime_01_s_1,40044,event_onemoretime_01_s,Monologue,Monologue,Locale_SubScenario:event_onemoretime_01_s_1,False,bay,1,idle,clay,3,idle,CommanderRoom,9,9,1.0,none,,,,
event_onemoretime_01_s_2,40044,event_onemoretime_01_s,Monologue,Monologue,Locale_SubScenario:event_onemoretime_01_s_2,False,,1,idle,,3,idle,,9,9,1.0,bgm_story_breakaway,,,,
event_onemoretime_01_s_3,40044,event_onemoretime_01_s,Narration,Narration,Locale_SubScenario:event_onemoretime_01_s_3,False,,1,worry,,3,sad,,9,2,1.0,,sfx_scn_autodooropen,,,
event_onemoretime_01_s_4,40044,event_onemoretime_01_s,Speech,bay,Locale_SubScenario:event_onemoretime_01_s_4,True,,1,worry,,3,sad,,2,2,1.0,,,bay,,
event_onemoretime_01_s_5,40044,event_onemoretime_01_s,Speech,bay,Locale_SubScenario:event_onemoretime_01_s_5,True,,1,worry,,3,sad,,2,2,1.0,,,bay,,
event_onemoretime_01_s_6,40044,event_onemoretime_01_s,Speech,clay,Locale_SubScenario:event_onemoretime_01_s_6,True,,1,worry,,3,sad,,2,2,1.0,,,clay,,
event_onemoretime_01_s_7,40044,event_onemoretime_01_s,Speech,clay,Locale_SubScenario:event_onemoretime_01_s_7,True,,1,worry,,3,sad,,2,2,1.0,,,clay,,
event_onemoretime_01_s_8,40044,event_onemoretime_01_s,Narration,bay,Locale_SubScenario:event_onemoretime_01_s_8,False,,1,worry,,3,sad,,black,black,1.0,,,,,
event_onemoretime_01_s_9,40044,event_onemoretime_01_s,Speech,bay,Locale_SubScenario:event_onemoretime_01_s_9,True,,1,worry,,3,sad,,2,2,1.0,,,bay,,
event_onemoretime_01_s_10,40044,event_onemoretime_01_s,Speech,clay,Locale_SubScenario:event_onemoretime_01_s_10,True,,1,worry,,3,surprise,,2,2,1.0,,,clay,,
event_onemoretime_01_s_11,40044,event_onemoretime_01_s,Speech,clay,Locale_SubScenario:event_onemoretime_01_s_11,True,,1,worry,,3,surprise,,2,2,1.0,,,clay,,
event_onemoretime_01_s_12,40044,event_onemoretime_01_s,Monologue,clay,Locale_SubScenario:event_onemoretime_01_s_12,False,,1,worry,,3,sad,,2,2,1.0,,,,,
