id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_foolburstday_07_1,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_1,False,Station,13,1,1.0,bgm_inark,,,,mechashifty,1,idle,,,,,
event_foolburstday_07_2,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_2,True,,1,1,1.0,,mechashifty,mechashifty,,,1,idle,,,,,
event_foolburstday_07_3,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_3,True,,1,31,1.0,,shifty_s,shifty_s,,,1,idle,,shifty_s,3,worry,
event_foolburstday_07_4,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_4,False,,31,31,1.0,,shifty_s,,,,1,idle,,,3,worry,
event_foolburstday_07_5,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_5,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_6,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_6,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_7,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_7,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_8,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_8,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_9,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_9,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_10,130007,event_foolburstday_07,Narration,Locale_SubScenario:event_foolburstday_07_10,False,,black,black,1.0,,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_11,130007,event_foolburstday_07,Narration,Locale_SubScenario:event_foolburstday_07_11,False,,black,black,1.0,,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_12,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_12,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,surprise,
event_foolburstday_07_13,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_13,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_14,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_14,False,,black,black,1.0,,mechashifty,,,,1,idle,mechashifty,,3,surprise,shifty_s
event_foolburstday_07_15,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_15,False,2025FoolsDay,black,black,1.0,,mechashifty,,,,,,,,,,
event_foolburstday_07_16,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_16,False,,S_100,S_10,1.0,,mechashifty,,,,,,,,,,
event_foolburstday_07_17,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_17,False,,S_10,S_10,1.0,,mechashifty,,,,,,,,,,
event_foolburstday_07_18,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_18,True,,S_10,S_30,1.0,,shifty_s,shifty_s,,mechashifty,1,idle,,shifty_s,3,surprise,
event_foolburstday_07_19,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_19,True,,S_30,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_20,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_20,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_21,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_21,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_22,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_22,False,,31,31,1.0,,mechashifty,,,,1,idle,,,3,surprise,
event_foolburstday_07_23,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_23,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,surprise,
