id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
event_ce02_2_06_e_1,40027,event_ce02_2_06_e,Narration,Locale_SubScenario:event_ce02_2_06_e_1,False,Factory_n,8,8,1.0,sfx_scn_rapturelanding,ambient_scn_wind,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce02_2_06_e_2,40027,event_ce02_2_06_e,Monologue,Locale_SubScenario:event_ce02_2_06_e_2,False,,8,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce02_2_06_e_3,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_3,True,,8,8,1.0,,,,anis,anis,neon,9,idle,anis,7,void,rapi,5,idle,ce_02_npc_01,3,think,ce_02_01,1,idle,c1002_02,13,idle,,,,,,,,,,,
event_ce02_2_06_e_4,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_4,True,,8,8,1.0,,,,neon,neon,,9,idle,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_5,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_5,True,,8,6,1.0,,,,rapi,rapi,,9,idle,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_6,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_6,True,,6,6,1.0,,,,rapi,rapi,,9,idle,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_7,40027,event_ce02_2_06_e,Narration,Locale_SubScenario:event_ce02_2_06_e_7,False,,black,black,1.0,sfx_scn_regeneration,event_bgm_ce002_story_3,Low_2,,,,9,idle,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_8,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_8,False,,9,S_90,1.0,,,,neon,neon,,9,surprise,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_9,40027,event_ce02_2_06_e,Narration,Locale_SubScenario:event_ce02_2_06_e_9,False,,black,black,1.0,sfx_scn_regeneration,,Low_2,,,,9,surprise,,7,void,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
event_ce02_2_06_e_10,40027,event_ce02_2_06_e,Speech,Locale_SubScenario:event_ce02_2_06_e_10,True,,70,70,1.0,,,,anis,anis,,9,surprise,,7,angry,,5,idle,,3,think,,1,idle,,13,idle,,,,,,,,,,,
