id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_killthelord_04_e_1,40043,event_killthelord_04_e,Self,rosanna_m,Locale_SubScenario:event_killthelord_04_e_1,False,Restaurant,12,12,1.0,bgm_story_crawlinganxiety,,,,,d_w,1,void,rosanna_m,13,idle
event_killthelord_04_e_2,40043,event_killthelord_04_e,Speech,rosanna_m,Locale_SubScenario:event_killthelord_04_e_2,True,,12,12,1.0,,rosanna_m,,,,,1,void,,13,idle
event_killthelord_04_e_3,40043,event_killthelord_04_e,Speech,d_w,Locale_SubScenario:event_killthelord_04_e_3,False,,12,12,1.0,,d_w,,,,,1,void,,13,idle
event_killthelord_04_e_4,40043,event_killthelord_04_e,Speech,d_w,Locale_SubScenario:event_killthelord_04_e_4,False,,12,12,1.0,,people,,,,,1,void,,13,idle
event_killthelord_04_e_5,40043,event_killthelord_04_e,Monologue,d_w,Locale_SubScenario:event_killthelord_04_e_5,False,,black,black,1.0,,,,,,,1,void,,13,idle
event_killthelord_04_e_6,40043,event_killthelord_04_e,Monologue,d_w,Locale_SubScenario:event_killthelord_04_e_6,False,,black,black,1.0,,,,,,,1,void,,13,idle
event_killthelord_04_e_7,40043,event_killthelord_04_e,Speech,rosanna_m,Locale_SubScenario:event_killthelord_04_e_7,True,,12,12,1.0,,rosanna_m,,,,,1,void,,13,idle
event_killthelord_04_e_8,40043,event_killthelord_04_e,Self,rosanna_m,Locale_SubScenario:event_killthelord_04_e_8,False,,12,12,1.0,,,,,,,1,void,,13,idle
event_killthelord_04_e_9,40043,event_killthelord_04_e,Speech,rosanna_m,Locale_SubScenario:event_killthelord_04_e_9,True,,12,12,1.0,,rosanna_m,,,,,1,void,,13,idle
event_killthelord_04_e_10,40043,event_killthelord_04_e,Speech,d_w,Locale_SubScenario:event_killthelord_04_e_10,True,,12,12,1.0,,d_w,,,,,1,void,,13,idle
