id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,play_sound,set_camera_shake
event_seayouagain2_01_e_1,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_1,True,mast,1,idle2,anchor,3,idle,massproduction01,13,idle,EzsUp,113,113,1.0,bgm_inark,,,,,,,
event_seayouagain2_01_e_2,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_2,True,,1,idle2,,3,idle,,13,idle,,113,113,1.0,,,,,,,,
event_seayouagain2_01_e_3,40025,event_seayouagain2_01_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_e_3,True,,1,idle2,,3,idle,,13,idle,,113,113,1.0,,,,,,,,
event_seayouagain2_01_e_4,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_4,True,,1,idle2,,3,idle,,13,idle,,113,130,1.0,,,,,,,,
event_seayouagain2_01_e_5,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_5,True,,1,idle2,,3,idle,,13,idle,,130,130,1.0,,,,,,,,
event_seayouagain2_01_e_6,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_6,True,,1,idle2,,3,idle,,13,idle,,130,1300,1.0,,,,,,,,
event_seayouagain2_01_e_7,40025,event_seayouagain2_01_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_e_7,True,,1,idle2,,3,idle,,13,idle,,XS_300,XS_300,1.0,,,,,,,,
event_seayouagain2_01_e_8,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_8,True,,1,idle2,,3,idle,,13,idle,,1300,1300,1.0,,,,,,,,
event_seayouagain2_01_e_9,40025,event_seayouagain2_01_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_e_9,True,,1,surprise2,,3,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
event_seayouagain2_01_e_10,40025,event_seayouagain2_01_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_e_10,True,,1,sad,,3,idle,,13,idle,,S_100,113,2.0,,,,,,,,
event_seayouagain2_01_e_11,40025,event_seayouagain2_01_e,Speech,massproduction01,massproduction01,Locale_MainScenario:event_seayouagain2_01_e_11,True,,1,sad,,3,idle,,13,idle,,113,113,1.0,,,,,,,,
