id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/1/hide_char_id,characters/3/hide_char_id,play_sound,set_filter_01,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce006_2_05_s_1,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_1,True,privaty,3,idle,elegg,1,delight,ce006_03,13,no,bunkerofartist,2,2,1.0,bgm_theruinedcity,,,,,,,,,,,,,,,,
event_ce006_2_05_s_2,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_2,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_3,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_3,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_4,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_4,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_5,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_5,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_6,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_6,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_7,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_7,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_8,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_8,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_9,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_9,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_10,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_10,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_11,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_11,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_12,40080,event_ce006_2_05_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_05_s_12,True,,3,idle,,1,idle,,13,no,,S_130,S_130,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_13,40080,event_ce006_2_05_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_05_s_13,True,,3,idle,,1,idle,,13,no,,S_130,S_130,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_14,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_14,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_15,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_15,True,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_16,40080,event_ce006_2_05_s,Self,privaty,,Locale_MainScenario:event_ce006_2_05_s_16,False,,3,idle,,1,idle,,13,no,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_17,40080,event_ce006_2_05_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_05_s_17,True,,3,idle,,1,idle,,13,no,,2,S_30,1.3,,,,,,,,,,,,,,,,,
event_ce006_2_05_s_18,40080,event_ce006_2_05_s,Speech,anis,anis,Locale_MainScenario:event_ce006_2_05_s_18,True,,3,idle,,1,idle,,13,void,,2,2,1.0,,privaty,ce006_03,anis,3,void,black,,,,,,,,,,
event_ce006_2_05_s_19,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_19,True,,,,,1,idle,,,,,2,2,1.0,,,,,3,void,,,,,,,,,,,
event_ce006_2_05_s_20,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_20,True,,,,,1,idle,,,,,2,2,1.0,,,,,3,void,,,,,,,,,,,
event_ce006_2_05_s_21,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_21,True,,,,,1,idle,,,,,2,2,1.0,,,,,3,void,,,,,,,,,,,
event_ce006_2_05_s_22,40080,event_ce006_2_05_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_05_s_22,True,,,,,1,idle,,,,,2,S_10,1.3,,,,,3,void,,,,,,,,,,,
event_ce006_2_05_s_23,40080,event_ce006_2_05_s,Narration,elegg,,Locale_MainScenario:event_ce006_2_05_s_23,False,,,,,1,idle,,,,,black,black,1.0,none,,,,3,void,black,elegg,anis,sfx_scn_memorynoise,Grey,,,,,,
event_ce006_2_05_s_24,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_24,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_25,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_25,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_26,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_26,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_27,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_27,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_28,40080,event_ce006_2_05_s,Narration,younghermin,,Locale_MainScenario:event_ce006_2_05_s_28,False,,,,,,,,,,,black,black,1.0,collab_bgm_sb_landscapeofthepast,,,,,,,,,sfx_scn_memorynoise,Grey,,,,,,
event_ce006_2_05_s_29,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_29,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_30,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_30,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_31,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_31,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_32,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_32,False,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_33,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_33,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_34,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_34,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_35,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_35,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_36,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_36,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_37,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_37,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_38,40080,event_ce006_2_05_s,Narration,younghermin,,Locale_MainScenario:event_ce006_2_05_s_38,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,sfx_scn_memorynoise,Grey,,,,,,
event_ce006_2_05_s_39,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_39,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_40,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_40,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_41,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_41,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_42,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_42,False,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
event_ce006_2_05_s_43,40080,event_ce006_2_05_s,Speech,younghermin,younghermin,Locale_MainScenario:event_ce006_2_05_s_43,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,Grey,,,,,,
