id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_exnii1_01_e_1,40070,event_exnii1_01_e,Speech,ce005_01,unknown,Locale_SubScenario:event_exnii1_01_e_1,False,RedBeach_1,15,15,1.0,event_bgm_ce005_laststand,ce005_01,15,idle,,,,,,,,,,,,,,,
event_exnii1_01_e_2,40070,event_exnii1_01_e,Narration,ce005_01,,Locale_SubScenario:event_exnii1_01_e_2,False,,15,15,1.0,,,15,idle,anis,3,void,ce005_02,13,idle,rapi,1,idle,neon,5,idle,ce005_03,17,idle
event_exnii1_01_e_3,40070,event_exnii1_01_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_01_e_3,True,,3,3,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_4,40070,event_exnii1_01_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_01_e_4,False,,13,13,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_5,40070,event_exnii1_01_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_01_e_5,True,,3,3,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_6,40070,event_exnii1_01_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_01_e_6,True,,3,3,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_7,40070,event_exnii1_01_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_01_e_7,True,,13,13,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_8,40070,event_exnii1_01_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_01_e_8,True,,13,13,1.0,,,15,idle,,3,void,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_9,40070,event_exnii1_01_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_01_e_9,True,,3,3,1.0,,,15,idle,,3,worry,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_10,40070,event_exnii1_01_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_01_e_10,True,,15,15,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_11,40070,event_exnii1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_01_e_11,True,,1,1,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_12,40070,event_exnii1_01_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_01_e_12,True,,15,15,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_13,40070,event_exnii1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_01_e_13,True,,1,1,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_14,40070,event_exnii1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_01_e_14,True,,1,1,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
event_exnii1_01_e_15,40070,event_exnii1_01_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_01_e_15,False,,15,15,1.0,,,15,idle,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle
