id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,conversation_id
event_goldencoinrush1_02_s_1,40048,event_goldencoinrush1_02_s,Narration,Locale_MainScenario:event_goldencoinrush1_02_s_1,False,CoinRushIndoor,5,1,1.0,bgm_story_onlineshopping,,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_2,40048,event_goldencoinrush1_02_s,Monologue,Locale_MainScenario:event_goldencoinrush1_02_s_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_3,40048,event_goldencoinrush1_02_s,Monologue,Locale_MainScenario:event_goldencoinrush1_02_s_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_4,40048,event_goldencoinrush1_02_s,Monologue,Locale_MainScenario:event_goldencoinrush1_02_s_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_5,40048,event_goldencoinrush1_02_s,Monologue,Locale_MainScenario:event_goldencoinrush1_02_s_5,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_6,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_6,True,,1,S_10,1.0,,soda,soda,soda,1,sad,,,,,,,,,,
event_goldencoinrush1_02_s_7,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_7,True,,S_10,S_10,1.0,,soda,soda,,1,sad,,,,,,,,,,
event_goldencoinrush1_02_s_8,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_8,True,,S_10,S_10,1.0,,soda,soda,,1,sad,,,,,,,,,,
event_goldencoinrush1_02_s_9,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_9,False,,S_10,S_10,1.0,,soda,,,1,sad,,,,,,,,,,
event_goldencoinrush1_02_s_10,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_10,True,,S_10,S_10,1.0,,soda,soda,,1,sad,,,,,,,,,,
event_goldencoinrush1_02_s_11,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_11,True,,S_10,S_10,1.0,,soda,soda,,1,serious,,,,,,,,,,
event_goldencoinrush1_02_s_12,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_12,False,,S_10,S_10,1.0,,soda,,,1,serious,,,,,,,,,,
event_goldencoinrush1_02_s_13,40048,event_goldencoinrush1_02_s,Monologue,Locale_MainScenario:event_goldencoinrush1_02_s_13,False,,black,black,1.0,,soda,,,1,idle,soda,,,,,,,,,
event_goldencoinrush1_02_s_14,40048,event_goldencoinrush1_02_s,Narration,Locale_MainScenario:event_goldencoinrush1_02_s_14,False,,13,13,1.0,,soda,,,,,,sfx_scn_medhit,Low_2,,,,,,,
event_goldencoinrush1_02_s_15,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_15,False,,13,130,1.0,,soda,,,,,,,,,,,,,,
event_goldencoinrush1_02_s_16,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_16,True,,130,130,1.0,,rouge,rouge,,,,,,,rouge,13,idle,,,,
event_goldencoinrush1_02_s_17,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_17,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,surprise,,,,
event_goldencoinrush1_02_s_18,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_18,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,surprise,,,,
event_goldencoinrush1_02_s_19,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_19,False,,130,130,1.0,,rouge,,,,,,,,,13,surprise,,,,
event_goldencoinrush1_02_s_20,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_20,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,idle,,,,
event_goldencoinrush1_02_s_21,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_21,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,idle,,,,
event_goldencoinrush1_02_s_22,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_22,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,think,,,,
event_goldencoinrush1_02_s_23,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_23,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,think,,,,
event_goldencoinrush1_02_s_24,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_24,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,think,,,,
event_goldencoinrush1_02_s_25,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_25,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,think,,,,
event_goldencoinrush1_02_s_26,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_26,True,,130,130,1.0,,rouge,rouge,,,,,,,,13,think,,,,
event_goldencoinrush1_02_s_27,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_27,False,,130,12,1.0,,rouge,,soda,1,idle,,,,,13,think,,,,
event_goldencoinrush1_02_s_28,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_28,True,,12,12,1.0,,rouge,rouge,,1,idle,,,,,13,surprise,,,,
event_goldencoinrush1_02_s_29,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_29,True,,12,12,1.0,,rouge,rouge,,1,idle,,,,,13,surprise,,,,
event_goldencoinrush1_02_s_30,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_30,True,,12,12,1.0,,rouge,rouge,,1,idle,,,,,13,think,,,,
event_goldencoinrush1_02_s_31,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_31,True,,12,130,1.0,,rouge,rouge,,1,idle,,,,,13,think,,,,
event_goldencoinrush1_02_s_32,40048,event_goldencoinrush1_02_s,Self,Locale_MainScenario:event_goldencoinrush1_02_s_32,False,,130,130,1.0,,rouge,,,1,idle,,,,,13,think,,,,
event_goldencoinrush1_02_s_33,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_33,True,,130,13,1.0,,rouge,rouge,,1,idle,,,,,13,idle,,,,
event_goldencoinrush1_02_s_34,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_34,True,,13,13,1.0,,rouge,rouge,,1,idle,,,,,13,idle,,,,
event_goldencoinrush1_02_s_35,40048,event_goldencoinrush1_02_s,Speech,Locale_MainScenario:event_goldencoinrush1_02_s_35,True,,13,12,1.0,,rouge,rouge,,1,idle,,,,,13,idle,,,,
