id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_brandnewyear_05_e_1,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_1,True,IceLand_04,S_130,S_130,1.0,bgm_inark,,,helm_p,1,idle,sugar_p,13,idle,julia_p,3,idle
event_brandnewyear_05_e_2,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_2,True,,S_10,S_10,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_3,40005,event_brandnewyear_05_e,Monologue,,,Locale_SubScenario:event_brandnewyear_05_e_3,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_4,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_4,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_5,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_5,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_6,40005,event_brandnewyear_05_e,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_05_e_6,True,,S_30,S_30,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_7,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_7,True,,S_10,S_10,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_8,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_8,True,,S_10,S_10,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_9,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_9,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_10,40005,event_brandnewyear_05_e,Narration,,,Locale_SubScenario:event_brandnewyear_05_e_10,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_11,40005,event_brandnewyear_05_e,Narration,,,Locale_SubScenario:event_brandnewyear_05_e_11,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_12,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_12,True,,S_10,S_10,1.0,,black,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_13,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_13,True,,S_10,S_10,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_14,40005,event_brandnewyear_05_e,Self,,,Locale_SubScenario:event_brandnewyear_05_e_14,False,,S_10,S_10,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_15,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_15,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_16,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_16,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_17,40005,event_brandnewyear_05_e,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_05_e_17,True,,S_30,S_30,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_18,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_18,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_19,40005,event_brandnewyear_05_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_05_e_19,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_20,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_20,True,,S_130,113,1.0,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_e_21,40005,event_brandnewyear_05_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_05_e_21,True,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle
