id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,play_sound,set_camera_shake
snowfall_episode_emma_02_s_1,80903,snowfall_episode_emma_02_s,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_02_s_1,False,emma,1,idle,WaterFall_s,1,1,1.0,amb_so_waterfall_1,event_bgm_neverland_hugme_sunset,,,
snowfall_episode_emma_02_s_2,80903,snowfall_episode_emma_02_s,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_02_s_2,False,,1,idle,,1,1,1.0,,,,,
snowfall_episode_emma_02_s_3,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_3,False,,1,idle,,1,1,1.0,,,,,
snowfall_episode_emma_02_s_4,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_4,True,,1,surprise,,1,1,1.0,,,emma,,
snowfall_episode_emma_02_s_5,80903,snowfall_episode_emma_02_s,Narration,Narration,Locale_SubScenario:snowfall_episode_emma_02_s_5,False,,1,surprise,,1,1,1.0,,,,sfx_scn_waterdive,Low_2
snowfall_episode_emma_02_s_6,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_6,False,,1,surprise,,1,10,0.5,,,emma,,
snowfall_episode_emma_02_s_7,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_7,True,,1,worry,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_8,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_8,False,,1,worry,,10,10,1.0,,,,,
snowfall_episode_emma_02_s_9,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_9,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_10,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_10,False,,1,idle,,10,10,1.0,,,,,
snowfall_episode_emma_02_s_11,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_11,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_12,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_12,False,,1,idle,,10,10,1.0,,,,,
snowfall_episode_emma_02_s_13,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_13,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_14,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_14,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_15,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_15,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_16,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_16,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_17,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_17,False,,1,idle,,10,10,1.0,,,,,
snowfall_episode_emma_02_s_18,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_18,True,,1,worry,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_19,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_19,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_20,80903,snowfall_episode_emma_02_s,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_02_s_20,False,,1,idle,,10,17,1.0,,,,,
snowfall_episode_emma_02_s_21,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_21,False,,1,idle,,17,10,1.0,,,,,
snowfall_episode_emma_02_s_22,80903,snowfall_episode_emma_02_s,Self,Self,Locale_SubScenario:snowfall_episode_emma_02_s_22,False,,1,idle,,10,10,1.0,,,,,
snowfall_episode_emma_02_s_23,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_23,True,,1,surprise,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_24,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_24,True,,1,idle,,10,10,1.0,,,emma,,
snowfall_episode_emma_02_s_25,80903,snowfall_episode_emma_02_s,Speech,emma,Locale_SubScenario:snowfall_episode_emma_02_s_25,True,,1,delight,,10,1,1.0,,,emma,,
snowfall_episode_emma_02_s_26,80903,snowfall_episode_emma_02_s,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_02_s_26,False,,1,delight,,black,black,1.0,,,,,
