id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/4/hide_char_id
event_ce006_1_intermission_01_1,40079,event_ce006_1_intermission_01,Speech,anis,anis,Locale_MainScenario:event_ce006_1_intermission_01_1,True,roam,9,idle,neon,3,idle,rapi,5,idle,anis,1,angry,com,13,idle,ce006_npc_01,15,idle,ce006_03,17,no,ce006_01,7,idle,artcity_d,12,12,1.0,bgm_blurredvision,,
event_ce006_1_intermission_01_2,40079,event_ce006_1_intermission_01,Speech,com,com,Locale_MainScenario:event_ce006_1_intermission_01_2,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_3,40079,event_ce006_1_intermission_01,Speech,anis,anis,Locale_MainScenario:event_ce006_1_intermission_01_3,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_4,40079,event_ce006_1_intermission_01,Speech,com,com,Locale_MainScenario:event_ce006_1_intermission_01_4,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_5,40079,event_ce006_1_intermission_01,Speech,roam,roam,Locale_MainScenario:event_ce006_1_intermission_01_5,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,90,90,1.0,,,
event_ce006_1_intermission_01_6,40079,event_ce006_1_intermission_01,Speech,com,com,Locale_MainScenario:event_ce006_1_intermission_01_6,False,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_7,40079,event_ce006_1_intermission_01,Speech,anis,anis,Locale_MainScenario:event_ce006_1_intermission_01_7,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_8,40079,event_ce006_1_intermission_01,Speech,anis,anis,Locale_MainScenario:event_ce006_1_intermission_01_8,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_9,40079,event_ce006_1_intermission_01,Speech,com,com,Locale_MainScenario:event_ce006_1_intermission_01_9,False,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
event_ce006_1_intermission_01_10,40079,event_ce006_1_intermission_01,Speech,com,com,Locale_MainScenario:event_ce006_1_intermission_01_10,True,,9,idle,,3,idle,,5,idle,,1,angry,,13,idle,,15,idle,,17,no,,7,idle,,12,12,1.0,,,
