id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_neverland2_06_s_1,40035,event_neverland2_06_s,Speech,unknown,unknown,Locale_MainScenario:event_neverland2_06_s_1,True,IceLand_n,19,19,1.0,bgm_emergency,,,,ludmilla_w,3,angry,,mica_w,1,no,,blanc_c,5,think,,noir_c,7,surprise,,,,,
event_neverland2_06_s_2,40035,event_neverland2_06_s,Monologue,,,Locale_MainScenario:event_neverland2_06_s_2,False,,19,17,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_3,40035,event_neverland2_06_s,Self,,,Locale_MainScenario:event_neverland2_06_s_3,False,,17,170,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_4,40035,event_neverland2_06_s,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland2_06_s_4,True,,L_50,L_50,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_5,40035,event_neverland2_06_s,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland2_06_s_5,True,,L_50,L_50,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_6,40035,event_neverland2_06_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_06_s_6,True,,S_10,S_10,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_7,40035,event_neverland2_06_s,Monologue,,,Locale_MainScenario:event_neverland2_06_s_7,False,,S_10,XS_150,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,belorta,15,worry,
event_neverland2_06_s_8,40035,event_neverland2_06_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_06_s_8,True,,XS_150,XS_150,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,15,worry,
event_neverland2_06_s_9,40035,event_neverland2_06_s,Narration,,,Locale_MainScenario:event_neverland2_06_s_9,False,,XS_150,XS_1500,1.0,,sfx_scn_bang_2,Low_2,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,15,worry,
event_neverland2_06_s_10,40035,event_neverland2_06_s,Monologue,,,Locale_MainScenario:event_neverland2_06_s_10,False,,XS_1500,XS_1500,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,15,worry,
event_neverland2_06_s_11,40035,event_neverland2_06_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_06_s_11,True,,300,300,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,15,worry,belorta
event_neverland2_06_s_12,40035,event_neverland2_06_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_06_s_12,True,,300,300,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_13,40035,event_neverland2_06_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_06_s_13,True,,300,S_100,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_14,40035,event_neverland2_06_s,Monologue,,,Locale_MainScenario:event_neverland2_06_s_14,False,,S_100,S_100,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_15,40035,event_neverland2_06_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland2_06_s_15,True,,S_100,S_10,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_16,40035,event_neverland2_06_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_06_s_16,True,,S_10,31,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
event_neverland2_06_s_17,40035,event_neverland2_06_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_06_s_17,True,,31,31,1.0,,,,,,3,angry,,,1,no,,,5,think,,,7,surprise,,,,,
