id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
event_ce_01_07_1,40009,event_ce_01_07,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_07_1,True,neon,6,idle,rapi,4,idle,anis,2,void,c_3,12,idle,c_npc_2,14,idle,c_npc_1,16,idle,c_2,18,idle,CityForest_01,3,3,1.0,bgm_story_prism,,,,,
event_ce_01_07_2,40009,event_ce_01_07,Speech,anis,anis,Locale_SubScenario:event_ce_01_07_2,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,18,idle,,3,3,1.0,,,,,,
event_ce_01_07_3,40009,event_ce_01_07,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_07_3,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,think,,16,idle,,18,idle,,3,13,2.0,,,,,,
event_ce_01_07_4,40009,event_ce_01_07,Monologue,,Monologue,Locale_SubScenario:event_ce_01_07_4,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,think,,16,idle,,18,idle,,black,black,1.0,,,,,,
event_ce_01_07_5,40009,event_ce_01_07,Monologue,,Monologue,Locale_SubScenario:event_ce_01_07_5,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,think,,16,idle,,18,idle,,black,black,1.0,,,,,,
event_ce_01_07_6,40009,event_ce_01_07,Self,,Self,Locale_SubScenario:event_ce_01_07_6,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,4,4,1.0,,,,,,
event_ce_01_07_7,40009,event_ce_01_07,Self,,Self,Locale_SubScenario:event_ce_01_07_7,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,4,4,1.0,,,,,,
event_ce_01_07_8,40009,event_ce_01_07,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_07_8,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,4,4,1.0,,,,,,
event_ce_01_07_9,40009,event_ce_01_07,Narration,,Narration,Locale_SubScenario:event_ce_01_07_9,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,black,black,1.0,none,,,,,
event_ce_01_07_10,40009,event_ce_01_07,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_07_10,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,40,40,1.0,,,,,,
event_ce_01_07_11,40009,event_ce_01_07,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_07_11,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,40,40,1.0,,,,,,
event_ce_01_07_12,40009,event_ce_01_07,Monologue,,Monologue,Locale_SubScenario:event_ce_01_07_12,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,40,40,1.0,,,,,,
event_ce_01_07_13,40009,event_ce_01_07,Monologue,,Monologue,Locale_SubScenario:event_ce_01_07_13,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,18,idle,,40,40,1.0,,sfx_scn_successsignal,,,,
