id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_colorless_02_s_1,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_1,False,CommanderRoom,10,10,1.0,bgm_story_breakaway,,,,,,,,,,,,,
event_colorless_02_s_2,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_2,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_3,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_3,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_4,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_4,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_5,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_5,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_6,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_6,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_7,40054,event_colorless_02_s,Narration,Locale_SubScenario:event_colorless_02_s_7,False,,10,10,1.0,,,,,,,,,,,,,,
event_colorless_02_s_8,40054,event_colorless_02_s,Speech,Locale_SubScenario:event_colorless_02_s_8,True,,10,10,1.0,,rapi,rapi,rapi,1,idle,,,,,,,,
event_colorless_02_s_9,40054,event_colorless_02_s,Self,Locale_SubScenario:event_colorless_02_s_9,False,,10,10,1.0,,rapi,,,1,idle,,,,,,,,
event_colorless_02_s_10,40054,event_colorless_02_s,Speech,Locale_SubScenario:event_colorless_02_s_10,True,,10,10,1.0,,rapi,rapi,,1,idle,,,,,,,,
event_colorless_02_s_11,40054,event_colorless_02_s,Self,Locale_SubScenario:event_colorless_02_s_11,False,,10,10,1.0,,rapi,,,1,idle,,,,,,,,
event_colorless_02_s_12,40054,event_colorless_02_s,Self,Locale_SubScenario:event_colorless_02_s_12,False,,10,10,1.0,,rapi,,,1,idle,,,,,,,,
event_colorless_02_s_13,40054,event_colorless_02_s,Speech,Locale_SubScenario:event_colorless_02_s_13,False,,10,10,1.0,,rapi,rapi,,1,think,,,,,,,,
event_colorless_02_s_14,40054,event_colorless_02_s,Speech,Locale_SubScenario:event_colorless_02_s_14,True,,10,10,1.0,,rapi,rapi,,1,think,,,,,,,,
event_colorless_02_s_15,40054,event_colorless_02_s,Speech,Locale_SubScenario:event_colorless_02_s_15,True,,10,10,1.0,,rapi,rapi,,1,idle,,,,,,,,
event_colorless_02_s_16,40054,event_colorless_02_s,Self,Locale_SubScenario:event_colorless_02_s_16,False,,10,10,1.0,,rapi,,,1,idle,,,,,,,,
event_colorless_02_s_17,40054,event_colorless_02_s,Monologue,Locale_SubScenario:event_colorless_02_s_17,False,Park,black,black,1.0,none,,,,1,idle,rapi,privaty,1,sad,black,,,
