id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,speaker,set_camera_shake,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_darkhero_01_e_1,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_1,False,3,3,1.0,bgm_story_heynewbie,,,,,,,,,,,,,,,,,,,,,
event_darkhero_01_e_2,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_2,False,30,30,1.0,,elegg,15,idle,exia,13,idle,maiden,1,idle,trony,3,idle,NikkeRoom,,,,,,,,
event_darkhero_01_e_3,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_3,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,,,,,,,,
event_darkhero_01_e_4,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_4,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,,,,,,,,
event_darkhero_01_e_5,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_5,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,,,,,,,,
event_darkhero_01_e_6,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_6,True,30,300,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,trony,,,,,,,
event_darkhero_01_e_7,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_7,False,300,300,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,,,,,,,,
event_darkhero_01_e_8,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_8,False,300,300,1.0,,,15,idle,,13,idle,,1,idle,,3,idle,,,,,,,,,
event_darkhero_01_e_9,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_9,True,300,30,1.0,,,15,idle,,13,idle,,1,idle,,3,sad,,trony,,,,,,,
event_darkhero_01_e_10,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_10,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,sad,,,,,,,,,
event_darkhero_01_e_11,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_11,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,sad,,,,,,,,,
event_darkhero_01_e_12,40047,event_darkhero_01_e,Narration,trony,Locale_SubScenario:event_darkhero_01_e_12,False,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,sad,,,,,,,,,
event_darkhero_01_e_13,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_13,True,30,30,1.0,,,15,idle,,13,idle,,1,idle,,3,no,,trony,,,,,,,
event_darkhero_01_e_14,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_14,False,1,S_10,0.7,none,,15,idle,,13,idle,,1,idle,,3,no,,maiden,Low_2,,,,,,
event_darkhero_01_e_15,40047,event_darkhero_01_e,Monologue,maiden,Locale_SubScenario:event_darkhero_01_e_15,False,S_10,S_10,1.0,,,15,idle,,13,idle,,1,idle,,3,no,,,,sfx_scn_phonedrop,,,,,
event_darkhero_01_e_16,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_16,False,S_10,S_10,1.0,,,15,idle,,13,idle,,1,idle,,3,surprise,,trony,,,,,,,
event_darkhero_01_e_17,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_17,True,S_10,S_10,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_18,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_18,False,S_10,S_10,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,trony,,,,,,,
event_darkhero_01_e_19,40047,event_darkhero_01_e,Monologue,Monologue,Locale_SubScenario:event_darkhero_01_e_19,False,S_10,S_100,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,,,,,,,,
event_darkhero_01_e_20,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_20,True,S_100,S_100,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_21,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_21,True,S_100,30,1.0,bgm_story_herecomestrouble,,15,idle,,13,idle,,1,shy,,3,surprise,,trony,,,,,,,
event_darkhero_01_e_22,40047,event_darkhero_01_e,Narration,exia,Locale_SubScenario:event_darkhero_01_e_22,False,S_130,S_130,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,,,,,,,,
event_darkhero_01_e_23,40047,event_darkhero_01_e,Narration,exia,Locale_SubScenario:event_darkhero_01_e_23,False,S_130,S_1300,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,,,,,,,,
event_darkhero_01_e_24,40047,event_darkhero_01_e,Narration,exia,Locale_SubScenario:event_darkhero_01_e_24,False,S_1300,S_1300,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,,,,,,,,
event_darkhero_01_e_25,40047,event_darkhero_01_e,Narration,exia,Locale_SubScenario:event_darkhero_01_e_25,False,S_1300,S_130,1.0,,,15,idle,,13,idle,,1,shy,,3,surprise,,,,,,,,,
event_darkhero_01_e_26,40047,event_darkhero_01_e,Speech,exia,Locale_SubScenario:event_darkhero_01_e_26,True,S_130,S_130,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,exia,,,,,,,
event_darkhero_01_e_27,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_27,True,S_130,12,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_28,40047,event_darkhero_01_e,Speech,exia,Locale_SubScenario:event_darkhero_01_e_28,True,12,12,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,exia,,,,,,,
event_darkhero_01_e_29,40047,event_darkhero_01_e,Speech,exia,Locale_SubScenario:event_darkhero_01_e_29,True,12,12,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,exia,,,,,,,
event_darkhero_01_e_30,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_30,True,12,S_10,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_31,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_31,True,S_10,S_100,0.7,,,15,idle,,13,surprise,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_32,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_32,True,S_100,30,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,trony,,,,,,,
event_darkhero_01_e_33,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_33,False,30,30,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,maiden,,,,,,,
event_darkhero_01_e_34,40047,event_darkhero_01_e,Speech,trony,Locale_SubScenario:event_darkhero_01_e_34,True,30,300,1.0,,,15,idle,,13,surprise,,1,shy,,3,surprise,,trony,,,,,,,
event_darkhero_01_e_35,40047,event_darkhero_01_e,Speech,maiden,Locale_SubScenario:event_darkhero_01_e_35,True,300,2,0.5,,,15,idle,,13,surprise,,1,shy,,3,surprise,,maiden,,,,,,,
