id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_ce003_1_05_s_1,40041,event_ce003_1_05_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_05_s_1,True,CommanderRoom,10,2,1.0,sfx_scn_toyshopbell,event_bgm_ce003_story_1,,,soda,7,sad,,cocoa,5,idle,,ade,3,idle,,ce_003_02,1,idle,,ce_003_01,13,idle,,ce_003_03,15,idle,
event_ce003_1_05_s_2,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_2,True,,2,2,1.0,,,,,,7,sad,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_3,40041,event_ce003_1_05_s,Self,ade,,Locale_SubScenario:event_ce003_1_05_s_3,False,,2,2,1.0,,,,,,7,sad,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_4,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_4,True,,S_70,S_70,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_5,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_5,True,,2,2,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_6,40041,event_ce003_1_05_s,Self,ade,,Locale_SubScenario:event_ce003_1_05_s_6,False,,2,2,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_7,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_7,True,,2,30,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_8,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_8,True,,30,30,1.0,,,black,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_9,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_9,True,,30,30,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_10,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_10,True,,30,30,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_11,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_11,True,,30,30,1.0,,,,,,7,idle,,,5,idle,,,3,delight,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_12,40041,event_ce003_1_05_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_05_s_12,True,,30,10,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,
event_ce003_1_05_s_13,40041,event_ce003_1_05_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_05_s_13,True,,10,10,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,delight,,,13,idle,,,15,idle,
event_ce003_1_05_s_14,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_14,True,,10,30,1.0,,,,,,7,idle,,,5,idle,,,3,delight,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_15,40041,event_ce003_1_05_s,Speech,cocoa,cocoa,Locale_SubScenario:event_ce003_1_05_s_15,True,,30,XS_50,1.0,,,,,,7,idle,,,5,serious,,,3,idle,,,1,idle,,,13,idle,,,15,surprise,
event_ce003_1_05_s_16,40041,event_ce003_1_05_s,Speech,cocoa,cocoa,Locale_SubScenario:event_ce003_1_05_s_16,True,,XS_50,XS_50,1.0,,,,,,7,idle,,,5,serious,,,3,idle,,,1,idle,,,13,idle,,,15,surprise,
event_ce003_1_05_s_17,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_17,True,,XS_50,4,1.0,,,,,,7,idle,,,5,serious,,,3,idle,,,1,idle,,,13,idle,,,15,surprise,
event_ce003_1_05_s_18,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_18,True,,4,4,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_19,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_19,True,,S_130,S_130,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_20,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_20,True,,S_70,S_70,1.0,,,,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_21,40041,event_ce003_1_05_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_05_s_21,True,,10,2,1.0,,,,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_22,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_22,True,,2,2,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_23,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_23,True,,2,2,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_24,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_24,True,,2,2,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_25,40041,event_ce003_1_05_s,Monologue,ade,,Locale_SubScenario:event_ce003_1_05_s_25,False,,black,black,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_26,40041,event_ce003_1_05_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_05_s_26,True,,2,10,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_27,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_27,True,,10,30,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_28,40041,event_ce003_1_05_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_05_s_28,True,,30,30,1.0,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_ce003_1_05_s_29,40041,event_ce003_1_05_s,Monologue,,,Locale_SubScenario:event_ce003_1_05_s_29,False,,black,black,1.0,,event_bgm_ce003_minimain,black,,,1,idle,soda,,5,idle,cocoa,,3,idle,ade,,1,idle,ce_003_02,,13,idle,ce_003_01,,15,idle,ce_003_03
event_ce003_1_05_s_30,40041,event_ce003_1_05_s,Self,,,Locale_SubScenario:event_ce003_1_05_s_30,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_05_s_31,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_31,True,,12,1,1.0,,,,,soda,1,shy,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_05_s_32,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_32,True,,1,S_10,1.0,,,,,,1,sad,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_05_s_33,40041,event_ce003_1_05_s,Monologue,soda,,Locale_SubScenario:event_ce003_1_05_s_33,False,,S_10,S_10,1.0,sfx_scn_cartoonrun,,,Low_2,,1,sad,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_05_s_34,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_34,True,,black,black,1.0,,,,,,1,sad,,,,,,,,,,,,,,ce_003_01,13,angry,,,,,
event_ce003_1_05_s_35,40041,event_ce003_1_05_s,Narration,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_35,False,,S_10,S_130,1.0,sfx_scn_catchdebris,,,,,1,shy,,,,,,,,,,,,,,,13,angry,,,,,
event_ce003_1_05_s_36,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_36,False,,S_130,13,1.0,,,,,,1,shy,,,,,,,,,,,,,,,13,angry,,,,,
event_ce003_1_05_s_37,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_37,False,,13,12,1.0,sfx_scn_grab,,,,,1,shy,,,,,,,,,,,,,,,13,angry,,,,,
event_ce003_1_05_s_38,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_38,True,,12,12,1.0,,,,,,1,shy,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_39,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_39,True,,12,12,1.0,,,,,,1,shy,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_40,40041,event_ce003_1_05_s,Monologue,soda,,Locale_SubScenario:event_ce003_1_05_s_40,False,,black,black,1.0,,,,,,1,shy,,,,,,,,,,,,,,,13,idle,,,,,
