id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/3/hide_char_id
event_seayouagain2_02_e_1,40025,event_seayouagain2_02_e,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_02_e_1,True,liter_s,15,no,rapi_s,17,idle,Beach_d,15,XS_150,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_2,40025,event_seayouagain2_02_e,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_02_e_2,True,,15,no,,17,idle,,XS_150,XS_150,1.0,,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_3,40025,event_seayouagain2_02_e,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_02_e_3,True,,15,no,,17,idle,,XS_150,1517,1.0,,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_4,40025,event_seayouagain2_02_e,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_02_e_4,True,,15,delight,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_5,40025,event_seayouagain2_02_e,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_02_e_5,True,,15,delight,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_6,40025,event_seayouagain2_02_e,Self,,Self,Locale_MainScenario:event_seayouagain2_02_e_6,False,,15,delight,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,,
event_seayouagain2_02_e_7,40025,event_seayouagain2_02_e,Narration,,Narration,Locale_MainScenario:event_seayouagain2_02_e_7,False,,15,delight,,17,idle,,black,black,1.0,,liter_s,rapi_s,anis_s,1,idle,neon_s,13,idle,frima_s,15,idle,,,,,,,
event_seayouagain2_02_e_8,40025,event_seayouagain2_02_e,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_02_e_8,True,,,,,,,,13,XS_130,1.0,,,,,1,idle,,13,idle,,15,idle,,,,,,,
event_seayouagain2_02_e_9,40025,event_seayouagain2_02_e,Narration,,Narration,Locale_MainScenario:event_seayouagain2_02_e_9,False,,,,,,,,XS_130,XS_130,1.0,,,,,1,idle,,13,idle,,15,idle,Low_2,,,,,,
event_seayouagain2_02_e_10,40025,event_seayouagain2_02_e,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_02_e_10,True,,,,,,,,XS_130,13,1.0,,,,,1,idle,,13,idle,,15,idle,,,,,,,
