id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_absolute1_03_s_1,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_1,True,EventScene_absolute_02_2,absolute_20,absolute_16,1.5,event_bgm_absolute_1,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_2,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_2,True,,absolute_16,absolute_16,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_3,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_3,True,City,black,black,1.0,,ingrid,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_4,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_4,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_5,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_5,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_6,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_6,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_7,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_7,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_8,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_8,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_9,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_9,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_10,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_10,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_11,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_11,True,,1,1,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_12,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_12,True,,1,L_10,1.3,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_13,40086,event_absolute1_03_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_03_s_13,True,,L_10,L_10,1.0,,,1,idle,Grey,,,,,,,,,,,,,,
event_absolute1_03_s_14,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_14,True,EventScene_absolute_02_2,black,black,1.0,,,1,idle,Grey,ingrid,,,,,,,,,,,,,
event_absolute1_03_s_15,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_15,True,,absolute_19,absolute_17,1.5,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_16,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_16,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_17,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_17,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_18,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_18,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_19,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_19,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_20,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_20,False,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_21,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_21,True,,absolute_17,absolute_17,1.5,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_22,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_22,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_23,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_23,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_24,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_24,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_25,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_25,True,,absolute_17,absolute_17,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_26,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_26,True,,absolute_17,absolute_18,1.75,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_27,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_27,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_28,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_28,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_29,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_29,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_30,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_30,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_31,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_31,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_32,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_32,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_33,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_33,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_34,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_34,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_35,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_35,True,,absolute_18,absolute_18,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_36,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_36,True,EventScene_absolute_02_3,black,black,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_37,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_37,True,,absolute_25,absolute_22,1.5,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_38,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_38,True,,absolute_22,absolute_22,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_39,40086,event_absolute1_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_03_s_39,True,,absolute_22,absolute_22,1.0,,,,,,,,,,,,,,,,,,,
event_absolute1_03_s_40,40086,event_absolute1_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_03_s_40,True,,absolute_22,absolute_22,1.0,,,,,,,,,,,,,,,,,,,
