id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound
event_footstepwalkrun1_03_s_1,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_1,True,Laboratory,100,1,1.0,bgm_story_discussion,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_2,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_2,True,,1,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_3,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_3,False,,1,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_4,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_4,True,,1,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_5,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_5,True,,10,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_6,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_6,False,,10,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_7,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_7,True,,10,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_8,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_8,False,,1,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_9,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_9,True,,1,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_10,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_10,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_11,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_11,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_12,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_12,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_13,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_13,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_14,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_14,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_15,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_15,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_16,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_16,True,,100,100,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_17,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_17,True,,100,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_18,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_18,True,,1,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_19,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_19,True,,1,1,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_20,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_20,True,,1,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_21,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_21,True,,10,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_22,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_22,True,,10,10,1.0,,Vignetting,,,,,,,,
event_footstepwalkrun1_03_s_23,40066,event_footstepwalkrun1_03_s,Speech,researcher,researcher,Locale_MainScenario:event_footstepwalkrun1_03_s_23,True,,10,130,1.0,,Vignetting,,,,,,,,
