id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,highlight,speaker
event_liarsend_12_1,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_1,False,OutpostOut,1,1,1.0,none,,,,,
event_liarsend_12_2,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_2,False,,1,1,1.0,,,,,,
event_liarsend_12_3,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_3,False,,1,10,1.0,,,,,,
event_liarsend_12_4,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_4,False,,10,10,1.0,,,,,,
event_liarsend_12_5,130004,event_liarsend_12,Narration,Locale_SubScenario:event_liarsend_12_5,False,CommanderRoom,10,10,1.0,,sfx_scn_shower,black,,,
event_liarsend_12_6,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_6,False,,10,10,1.0,bgm_enemyclose,,,,,
event_liarsend_12_7,130004,event_liarsend_12,Narration,Locale_SubScenario:event_liarsend_12_7,False,,10,10,1.0,,sfx_scn_shower,,,,
event_liarsend_12_8,130004,event_liarsend_12,Narration,Locale_SubScenario:event_liarsend_12_8,False,,10,1,1.0,,sfx_scn_showerlever,,,,
event_liarsend_12_9,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_9,False,,1,1,1.0,,,,,,
event_liarsend_12_10,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_10,False,,1,1,1.0,,,,,,
event_liarsend_12_11,130004,event_liarsend_12,Choice,Locale_SubScenario:event_liarsend_12_11,False,,1,1,1.0,,,,event_liarsend_12_13,,
event_liarsend_12_12,130004,event_liarsend_12,Choice,Locale_SubScenario:event_liarsend_12_12,False,,1,1,1.0,,,,event_liarsend_12_15,,
event_liarsend_12_13,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_13,False,,1,1,1.0,,,,,,
event_liarsend_12_14,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_14,False,,1,1,1.0,,,,event_liarsend_12_18,,
event_liarsend_12_15,130004,event_liarsend_12,Self,Locale_SubScenario:event_liarsend_12_15,False,,1,1,1.0,,,,,,
event_liarsend_12_16,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_16,True,,1,1,1.0,,,,,unknown,unknown
event_liarsend_12_17,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_17,False,,1,1,1.0,,,,event_liarsend_12_18,,
event_liarsend_12_18,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_18,False,,1,1,1.0,,,,,,
event_liarsend_12_19,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_19,False,ShowerRoom,black,black,1.0,none,,,,,
event_liarsend_12_20,130004,event_liarsend_12,Narration,Locale_SubScenario:event_liarsend_12_20,False,,1,100,1.0,,sfx_scn_autodooropen,,,,
event_liarsend_12_21,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_21,True,,black,black,1.0,bgm_story_mustang,sfx_scn_flashbanglight,,,mustang,mustang
event_liarsend_12_22,130004,event_liarsend_12,Narration,Locale_SubScenario:event_liarsend_12_22,False,,100,1,1.0,,sfx_scn_doorclose,,,,
event_liarsend_12_23,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_23,False,,1,1,1.0,none,,,,,
event_liarsend_12_24,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_24,False,,1,1,1.0,,,,,,
event_liarsend_12_25,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_25,False,,1,1,1.0,,,,,,
event_liarsend_12_26,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_26,False,,1,1,1.0,,,,,,
event_liarsend_12_27,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_27,False,,1,1,1.0,,sfx_scn_autodooropen,,,,
event_liarsend_12_28,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_28,True,White,1,L_100,2.0,bgm_story_mustang,sfx_scn_flashbanglight,,,mustang,mustang
event_liarsend_12_29,130004,event_liarsend_12,Self,Locale_SubScenario:event_liarsend_12_29,False,,L_100,L_100,1.0,,,,,,
event_liarsend_12_30,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_30,False,,L_100,L_100,1.0,none,sfx_scn_bodyfall_down,,,,
event_liarsend_12_31,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_31,False,,black,black,1.0,,,white,,,
event_liarsend_12_32,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_32,False,,black,black,1.0,,,,,,
event_liarsend_12_33,130004,event_liarsend_12,Monologue,Locale_SubScenario:event_liarsend_12_33,False,EventScene_lairsend_01,black,black,1.0,,,,,,
event_liarsend_12_34,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_34,False,,liarsend_01,liarsend_02,2.0,bgm_story_inwonderland,,,,anis,anis
event_liarsend_12_35,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_35,False,,liarsend_02,liarsend_02,1.0,,,,,neon,neon
event_liarsend_12_36,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_36,False,,liarsend_02,liarsend_02,1.0,,,,,neon,neon
event_liarsend_12_37,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_37,False,,liarsend_02,liarsend_02,1.0,,,,,anis,anis
event_liarsend_12_38,130004,event_liarsend_12,Speech,Locale_SubScenario:event_liarsend_12_38,False,,liarsend_02,liarsend_02,1.0,,,,,neon,neon
