id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_unbreakablesphere1_05_s_1,40075,event_unbreakablesphere1_05_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_05_s_1,True,TreeOfWater,S_1500,S_150,1.0,event_bgm_ubsphere_longing,,mihara_b,1,idle,,yuni_n,3,idle,,littlemermaid,13,idle,mori,15,think,
event_unbreakablesphere1_05_s_2,40075,event_unbreakablesphere1_05_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_05_s_2,True,,S_150,S_150,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_3,40075,event_unbreakablesphere1_05_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_05_s_3,True,,S_150,S_150,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_4,40075,event_unbreakablesphere1_05_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_05_s_4,True,,10,10,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_5,40075,event_unbreakablesphere1_05_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_05_s_5,True,,10,10,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_6,40075,event_unbreakablesphere1_05_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_05_s_6,True,,S_150,S_150,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_7,40075,event_unbreakablesphere1_05_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_05_s_7,True,,10,10,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_8,40075,event_unbreakablesphere1_05_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_05_s_8,True,,10,31,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_9,40075,event_unbreakablesphere1_05_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere1_05_s_9,False,,31,31,1.0,,,,1,idle,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_10,40075,event_unbreakablesphere1_05_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_05_s_10,True,,31,31,1.0,,,,1,pain,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_11,40075,event_unbreakablesphere1_05_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere1_05_s_11,True,,31,31,1.0,,,,1,pain,,,3,idle,,,13,idle,,15,think,
event_unbreakablesphere1_05_s_12,40075,event_unbreakablesphere1_05_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_05_s_12,True,,S_150,S_1500,1.0,,,,1,pain,,,3,idle,,,13,idle,,15,think,
