id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
event_colorless_03_e_1,40054,event_colorless_03_e,Narration,Locale_SubScenario:event_colorless_03_e_1,False,zwei,13,idle,Classroom_n,130,130,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,
event_colorless_03_e_2,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_2,True,,13,idle,,130,130,1.0,,zwei,zwei,,,,,,,,,,,,,,
event_colorless_03_e_3,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_3,True,,13,idle,,130,130,1.0,,zwei,zwei,,,,,,,,,,,,,,
event_colorless_03_e_4,40054,event_colorless_03_e,Narration,Locale_SubScenario:event_colorless_03_e_4,False,,13,idle,,130,130,1.0,,zwei,,sfx_scn_slidingdoor,,,,,,,,,,,,,
event_colorless_03_e_5,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_5,False,,13,surprise,,130,130,1.0,,zwei,zwei,,,,,,,,,,,,,,
event_colorless_03_e_6,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_6,True,,13,surprise,,130,130,1.0,,zwei,zwei,,,,,,,,,,,,,,
event_colorless_03_e_7,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_7,True,,13,surprise,,130,10,1.0,,ein,ein,,ein,1,no,,,,,,,,,,
event_colorless_03_e_8,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_8,True,,13,surprise,,10,10,1.0,,ein,ein,,,1,no,,,,,,,,,,
event_colorless_03_e_9,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_9,True,,13,surprise,,10,10,1.0,,ein,ein,,,1,no,,,,,,,,,,
event_colorless_03_e_10,40054,event_colorless_03_e,Speech,Locale_SubScenario:event_colorless_03_e_10,True,,13,surprise,,10,12,1.0,,zwei,zwei,,,1,no,,,,,,,,,,
