id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_queensorder_04_e_1,40015,event_queensorder_04_e,Monologue,Locale_SubScenario:event_queensorder_04_e_1,False,Backstreet,black,black,1.0,bgm_story_fairytalesend_if,,,,,rosanna,1,idle,,,,
event_queensorder_04_e_2,40015,event_queensorder_04_e,Monologue,Locale_SubScenario:event_queensorder_04_e_2,False,,black,black,1.0,,,,,,,1,idle,,,,
event_queensorder_04_e_3,40015,event_queensorder_04_e,Monologue,Locale_SubScenario:event_queensorder_04_e_3,False,,black,black,1.0,,,,,,,1,idle,,,,
event_queensorder_04_e_4,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_4,True,,1,10,2.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_5,40015,event_queensorder_04_e,Self,Locale_SubScenario:event_queensorder_04_e_5,False,,10,10,1.0,,rosanna,,,,,1,idle,,,,
event_queensorder_04_e_6,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_6,True,,10,10,1.0,,rosanna,rosanna,,,,1,good,,,,
event_queensorder_04_e_7,40015,event_queensorder_04_e,Self,Locale_SubScenario:event_queensorder_04_e_7,False,,10,10,1.0,,rosanna,,,,,1,good,,,,
event_queensorder_04_e_8,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_8,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_9,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_9,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
event_queensorder_04_e_10,40015,event_queensorder_04_e,Speech,Locale_SubScenario:event_queensorder_04_e_10,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle,,,,
