id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
snowfall_global_03_default_1,80903,snowfall_global_03,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_default_2,80903,snowfall_global_03,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_03_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_default_3,80903,snowfall_global_03,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_1,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_1,False,HotSpringInnOut_s,6,6,1.0,amb_so_inn_out_2,event_bgm_neverland_snowflakes_sunset,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_2,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_2,False,,6,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_3,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_3,False,,6,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_4,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_4,False,DiningRoom_s,6,12,1.0,amb_so_restaurant_2,event_bgm_neverland_intermissionjam_sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_5,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_5,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_6,80903,snowfall_global_03,Monologue,Locale_SubScenario:snowfall_global_03_6,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_7,80903,snowfall_global_03,Self,Locale_SubScenario:snowfall_global_03_7,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_03_8,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_8,True,,12,12,1.0,,,,,,emma,emma,emma,1,idle,lumi_01,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_9,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_9,True,,12,12,1.0,,,,,,emma,emma,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_10,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_10,True,,12,12,1.0,,,,,,lumi_01,lumi_01,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_11,80903,snowfall_global_03,Self,Locale_SubScenario:snowfall_global_03_11,False,,12,12,1.0,,,,,,,,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_12,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_12,True,,12,10,1.0,,,,,,emma,emma,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_13,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_13,True,,10,10,1.0,,,,,,emma,emma,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_14,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_14,True,,10,10,1.0,,,,,,emma,emma,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_15,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_15,True,,10,10,1.0,,,,,,emma,emma,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_16,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_16,True,,10,130,1.0,,,,,,lumi_01,lumi_01,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_17,80903,snowfall_global_03,Self,Locale_SubScenario:snowfall_global_03_17,False,,130,130,1.0,,,,,,,,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_18,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_18,True,,130,12,1.0,,,,,,emma,emma,,1,delight,,13,idle,,,,,,,,,,,,,,,,,,
snowfall_global_03_19,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_19,True,,12,4,1.0,,,,,,blanc_c,blanc_c,,1,delight,,13,idle,emma,noir_c,5,idle,blanc_c,3,idle,lumi_01,,,,,,,,,,
snowfall_global_03_20,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_20,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,,,,,,,,5,idle,,3,idle,,,,,,,,,,,
snowfall_global_03_21,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_21,True,,4,4,1.0,,,,,,noir_c,noir_c,,,,,,,,,5,idle,,3,idle,,,,,,,,,,,
snowfall_global_03_22,80903,snowfall_global_03,Self,Locale_SubScenario:snowfall_global_03_22,False,,4,4,1.0,,,,,,,,,,,,,,,,5,idle,,3,idle,,,,,,,,,,,
snowfall_global_03_23,80903,snowfall_global_03,Speech,Locale_SubScenario:snowfall_global_03_23,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,,,,,,,,5,idle,,3,idle,,,,,,,,,,,
snowfall_global_03_24,80903,snowfall_global_03,Self,Locale_SubScenario:snowfall_global_03_24,False,,4,4,1.0,,,,,,blanc_c,,,,,,,,,,5,idle,,3,idle,,,,,,,,,,,
