id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_brandnewyear_05_s_1,40005,event_brandnewyear_05_s,Monologue,Locale_SubScenario:event_brandnewyear_05_s_1,False,IceLand_02,50,50,1.0,bgm_story_orangepop,,,,,helm_p,1,idle,sugar_p,13,idle,,,
event_brandnewyear_05_s_2,40005,event_brandnewyear_05_s,Monologue,Locale_SubScenario:event_brandnewyear_05_s_2,False,,50,5,1.0,,,,,,,1,idle,,13,idle,,,
event_brandnewyear_05_s_3,40005,event_brandnewyear_05_s,Monologue,Locale_SubScenario:event_brandnewyear_05_s_3,False,,5,13,2.0,,,,,,,1,idle,,13,idle,julia_p,3,idle
event_brandnewyear_05_s_4,40005,event_brandnewyear_05_s,Choice,Locale_SubScenario:event_brandnewyear_05_s_4,False,,13,13,1.0,,event_brandnewyear_05_s_6,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_5,40005,event_brandnewyear_05_s,Choice,Locale_SubScenario:event_brandnewyear_05_s_5,False,,13,13,1.0,,event_brandnewyear_05_s_8,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_6,40005,event_brandnewyear_05_s,Speech,Locale_SubScenario:event_brandnewyear_05_s_6,True,,13,1,1.0,,,helm_p,helm,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_7,40005,event_brandnewyear_05_s,Speech,Locale_SubScenario:event_brandnewyear_05_s_7,True,,1,1,1.0,,event_brandnewyear_05_s_8,helm_p,helm,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_8,40005,event_brandnewyear_05_s,Speech,Locale_SubScenario:event_brandnewyear_05_s_8,True,,13,13,1.0,,,sugar_p,sugar,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_9,40005,event_brandnewyear_05_s,Speech,Locale_SubScenario:event_brandnewyear_05_s_9,True,,1,1,1.0,none,,helm_p,helm,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_10,40005,event_brandnewyear_05_s,Self,Locale_SubScenario:event_brandnewyear_05_s_10,False,,1,1,1.0,,,,,,,1,idle,,13,idle,,3,idle
event_brandnewyear_05_s_11,40005,event_brandnewyear_05_s,Speech,Locale_SubScenario:event_brandnewyear_05_s_11,True,,S_30,S_30,1.0,bgm_story_backtonormal,,julia_p,julia,,,1,idle,,13,idle,,3,idle
