id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_firstaffection_1_1,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_1,False,CommanderRoom,15,1,3.0,bgm_story_orangepop,,,,,,
event_firstaffection_1_2,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_2,False,,1,1,1.0,,,,,,,
event_firstaffection_1_3,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_3,False,,1,1,1.0,,,,,,,
event_firstaffection_1_4,130002,event_firstaffection_01,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_1_4,False,,1,1,1.0,,sfx_scn_bookdrop,,,,,
event_firstaffection_1_5,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_5,False,,1,1,1.0,,,,,,,
event_firstaffection_1_6,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_6,False,,1,1,1.0,,,,,,,
event_firstaffection_1_7,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_7,False,,1,1,1.0,,,,,,,
event_firstaffection_1_8,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_8,False,,1,1,1.0,,,,,,,
event_firstaffection_1_9,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_9,False,,1,1,1.0,,,,,,,
event_firstaffection_1_10,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_10,False,,1,1,1.0,,,,,,,
event_firstaffection_1_11,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_11,False,,1,1,1.0,,,,,,,
event_firstaffection_1_12,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_12,False,,15,1,3.0,,,black,,,,
event_firstaffection_1_13,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_13,False,,1,1,1.0,,,,,,,
event_firstaffection_1_14,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_14,False,,1,1,1.0,,,,,,,
event_firstaffection_1_15,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_15,False,,1,1,1.0,,,,,,,
event_firstaffection_1_16,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_16,True,,1,1,1.0,,,,poli_op_c,OP_center,idle,
event_firstaffection_1_17,130002,event_firstaffection_01,Self,poli_op_c,,Locale_SubScenario:event_firstaffection_1_17,False,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_18,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_18,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_19,130002,event_firstaffection_01,Self,poli_op_c,,Locale_SubScenario:event_firstaffection_1_19,False,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_20,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_20,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_21,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_21,False,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_22,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_22,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_23,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_23,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_24,130002,event_firstaffection_01,Self,Self,,Locale_SubScenario:event_firstaffection_1_24,False,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_25,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_25,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_26,130002,event_firstaffection_01,Self,poli_op_c,,Locale_SubScenario:event_firstaffection_1_26,False,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_27,130002,event_firstaffection_01,Speech,poli_op_c,poli_op_c,Locale_SubScenario:event_firstaffection_1_27,True,,1,1,1.0,,,,,OP_center,idle,
event_firstaffection_1_28,130002,event_firstaffection_01,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_1_28,False,,1,1,1.0,,,,,OP_center,idle,poli_op_c
