id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_claymore_06_s_1,40050,event_claymore_06_s,Monologue,milk_n,Locale_SubScenario:event_claymore_06_s_1,False,SchoolCorridor,black,black,1.0,none,,,,,,clay,5,idle,,milk_n,3,good,,,,,
event_claymore_06_s_2,40050,event_claymore_06_s,Monologue,milk_n,Locale_SubScenario:event_claymore_06_s_2,False,,black,black,1.0,bgm_story_orangepop,,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_3,40050,event_claymore_06_s,Monologue,milk_n,Locale_SubScenario:event_claymore_06_s_3,False,,3,3,1.0,,,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_4,40050,event_claymore_06_s,Monologue,milk_n,Locale_SubScenario:event_claymore_06_s_4,False,,3,3,1.0,,,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_5,40050,event_claymore_06_s,Speech,milk_n,Locale_SubScenario:event_claymore_06_s_5,True,,3,S_30,1.0,,milk_n,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_6,40050,event_claymore_06_s,Self,milk_n,Locale_SubScenario:event_claymore_06_s_6,False,,S_30,S_30,1.0,,,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_7,40050,event_claymore_06_s,Speech,milk_n,Locale_SubScenario:event_claymore_06_s_7,True,,S_30,S_30,1.0,,milk_n,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_8,40050,event_claymore_06_s,Speech,milk_n,Locale_SubScenario:event_claymore_06_s_8,True,,S_30,S_30,1.0,,milk_n,,,,,,5,idle,,,3,good,,,,,
event_claymore_06_s_9,40050,event_claymore_06_s,Speech,clay,Locale_SubScenario:event_claymore_06_s_9,True,,S_30,4,1.0,,clay,,,,,,5,special,,,3,good,,,,,
event_claymore_06_s_10,40050,event_claymore_06_s,Speech,milk_n,Locale_SubScenario:event_claymore_06_s_10,True,,4,4,1.0,,milk_n,,,,,,5,special,,,3,good,,,,,
event_claymore_06_s_11,40050,event_claymore_06_s,Monologue,milk_n,Locale_SubScenario:event_claymore_06_s_11,False,,4,4,1.0,,,,,,,,5,special,,,3,good,,,,,
event_claymore_06_s_12,40050,event_claymore_06_s,Self,milk_n,Locale_SubScenario:event_claymore_06_s_12,False,,4,4,1.0,,,,,,,,5,special,,,3,good,,,,,
event_claymore_06_s_13,40050,event_claymore_06_s,Speech,milk_n,Locale_SubScenario:event_claymore_06_s_13,True,,4,4,1.0,,milk_n,,,,,,5,special,,,3,idle,,,,,
event_claymore_06_s_14,40050,event_claymore_06_s,Self,milk_n,Locale_SubScenario:event_claymore_06_s_14,False,,4,4,1.0,,,,,,,,5,special,,,3,idle,,,,,
event_claymore_06_s_15,40050,event_claymore_06_s,Self,milk_n,Locale_SubScenario:event_claymore_06_s_15,False,,4,4,1.0,,,,,,,,5,special,,,3,idle,,,,,
