id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,play_sound
event_ce02_1_05_s_1,40026,event_ce02_1_05_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_05_s_1,True,rapi,1,idle,neon,3,idle,anis,5,angry,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle,TechIndoor,130,130,1.0,event_bgm_ce002_story_1,,,
event_ce02_1_05_s_2,40026,event_ce02_1_05_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_05_s_2,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,
event_ce02_1_05_s_3,40026,event_ce02_1_05_s,Speech,b0006_02,b0006_02,Locale_SubScenario:event_ce02_1_05_s_3,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,130,150,1.0,,,,
event_ce02_1_05_s_4,40026,event_ce02_1_05_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_05_s_4,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,150,170,1.0,,,,
event_ce02_1_05_s_5,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_5,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,
event_ce02_1_05_s_6,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_6,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,
event_ce02_1_05_s_7,40026,event_ce02_1_05_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_05_s_7,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
event_ce02_1_05_s_8,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_8,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,
event_ce02_1_05_s_9,40026,event_ce02_1_05_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_05_s_9,True,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,,,
event_ce02_1_05_s_10,40026,event_ce02_1_05_s,Choice,,,Locale_SubScenario:event_ce02_1_05_s_10,False,,1,idle,,3,idle,,5,angry,,13,idle,,15,idle,,17,idle,,50,50,1.0,,event_ce02_1_05_s_12,,
