id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/5/hide_char_id
event_exnii2_03_s_1,40071,event_exnii2_03_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_03_s_1,True,shifty_r,OP_rightup,idle,EventScene_ce005_01_6,1,1,1.0,event_bgm_ce005_field_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_2,40071,event_exnii2_03_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_03_s_2,True,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_3,40071,event_exnii2_03_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_03_s_3,True,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_4,40071,event_exnii2_03_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_03_s_4,True,,OP_rightup,surprise,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_5,40071,event_exnii2_03_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_03_s_5,True,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_6,40071,event_exnii2_03_s,Self,shifty_r,,Locale_SubScenario:event_exnii2_03_s_6,False,,OP_rightup,idle,,1,1,1.0,,shifty_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_7,40071,event_exnii2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_s_7,True,,,,ocean_r_2,13,13,1.0,,,maxwell,13,angry,laplace,3,idle,drake,1,idle,black,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_8,40071,event_exnii2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_03_s_8,True,,,,,13,event_exnii_talk_06,1.0,,,,13,angry,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_9,40071,event_exnii2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_03_s_9,True,,,,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,13,sad,,3,delight,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_10,40071,event_exnii2_03_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_03_s_10,True,,,,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,13,sad,,3,delight,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_11,40071,event_exnii2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_s_11,True,,,,,event_exnii_talk_06,13,1.0,,,,13,sad,,3,delight,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_12,40071,event_exnii2_03_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_s_12,True,,,,,13,13,1.0,,,,13,sad,,3,delight,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_13,40071,event_exnii2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_03_s_13,True,,,,,13,30,1.0,,,,13,sad,,3,delight,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_s_14,40071,event_exnii2_03_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_03_s_14,True,,,,,30,3,0.8,,,,13,idle,,3,think,,1,no,,sfx_scn_antifield,Low_2,,,,,,,,,,,,,,,,,,,,,,,,
