id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/3/hide_char_id
event_firstaffection_8_1,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_1,False,CommanderRoom,1,1,1.0,bgm_story_sunshinesorrow,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_2,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_3,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_4,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_5,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_6,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_7,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_8,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_8,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_9,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_10,130002,event_firstaffection_08,Monologue,Monologue,Locale_SubScenario:event_firstaffection_8_10,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_firstaffection_8_11,130002,event_firstaffection_08,Narration,Narration,Locale_SubScenario:event_firstaffection_8_11,False,Grassland,5,1,2.0,none,black,,,,,,,,,,,,,,,,,,
event_firstaffection_8_12,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_12,False,,1,1,1.0,,,marian_p,marian_p,1,idle,,,,,,,,,,,,,,
event_firstaffection_8_13,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_13,False,,1,1,1.0,,,marian_p,,1,idle,,,,,,,,,,,,,,
event_firstaffection_8_14,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_14,True,,1,12,1.0,,,chime,,1,idle,chime,13,idle,,,,,,,,,,,
event_firstaffection_8_15,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_15,True,,12,12,1.0,,,chime,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_16,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_16,True,,12,12,1.0,,,marian_p,,1,surprise,,13,idle,,,,,,,,,,,
event_firstaffection_8_17,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_17,True,,12,12,1.0,,,marian_p,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_18,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_18,True,,12,12,1.0,,,marian_p,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_19,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_19,True,,12,12,1.0,,,chime,,1,idle,,13,special,,,,,,,,,,,
event_firstaffection_8_20,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_20,True,,12,12,1.0,,,chime,,1,idle,,13,special,,,,,,,,,,,
event_firstaffection_8_21,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_21,True,,12,12,1.0,,,marian_p,,1,idle,,13,special,,,,,,,,,,,
event_firstaffection_8_22,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_22,True,,12,12,1.0,,,chime,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_23,130002,event_firstaffection_08,Speech,chime,Locale_SubScenario:event_firstaffection_8_23,True,,12,12,1.0,,,chime,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_24,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_24,True,,12,10,2.0,,,marian_p,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_25,130002,event_firstaffection_08,Speech,marian_p,Locale_SubScenario:event_firstaffection_8_25,True,,10,10,1.0,,,marian_p,,1,idle,,13,idle,,,,,,,,,,,
event_firstaffection_8_26,130002,event_firstaffection_08,Speech,crown,Locale_SubScenario:event_firstaffection_8_26,True,ArkRuinIndoor,150,150,1.0,,black,crown,,1,idle,,13,idle,crown,15,idle,,,,,,,,
event_firstaffection_8_27,130002,event_firstaffection_08,Speech,crown,Locale_SubScenario:event_firstaffection_8_27,True,,150,150,1.0,,,crown,,1,idle,,13,idle,,15,idle,,,,,,,,
