id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_miraclesnow2_intermission_01_1,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_1,False,ShowerRoom,1,10,1.0,bgm_story_sunshinesorrow,Vignetting,,angelina,1,worry,
event_miraclesnow2_intermission_01_2,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_2,False,,10,10,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_3,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_3,False,,10,10,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_4,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_4,False,City_d,10,130,1.0,,Vignetting,,,13,worry,
event_miraclesnow2_intermission_01_5,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_5,False,ShoppingMall,130,130,1.0,,Vignetting,,,13,worry,
event_miraclesnow2_intermission_01_6,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_6,False,,130,13,1.0,,Vignetting,,,13,worry,
event_miraclesnow2_intermission_01_7,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_7,False,,13,13,1.0,,Vignetting,,,13,worry,
event_miraclesnow2_intermission_01_8,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_8,False,City_d,13,15,1.0,,Vignetting,,,15,worry,
event_miraclesnow2_intermission_01_9,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_9,False,FastFood,15,15,1.0,,Vignetting,,,15,worry,
event_miraclesnow2_intermission_01_10,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_10,False,,15,150,1.0,,Vignetting,,,15,worry,
event_miraclesnow2_intermission_01_11,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_11,False,,150,15,1.0,,Vignetting,,,15,worry,
event_miraclesnow2_intermission_01_12,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_12,False,City_d,15,1,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_13,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_13,False,Restaurant,1,10,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_14,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_14,False,,10,10,1.0,,Vignetting,,,1,smile,
event_miraclesnow2_intermission_01_15,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_15,False,,10,1,1.0,,Vignetting,,,1,worry,
event_miraclesnow2_intermission_01_16,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_16,False,City,1,5,1.0,,Vignetting,,,5,worry,
event_miraclesnow2_intermission_01_17,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_17,False,Bar,5,50,1.0,,Vignetting,,,5,worry,
event_miraclesnow2_intermission_01_18,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_18,False,,50,50,1.0,,Vignetting,,,5,worry,
event_miraclesnow2_intermission_01_19,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_19,False,,50,50,1.0,,Vignetting,,,5,sad,
event_miraclesnow2_intermission_01_20,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_20,False,,50,5,1.0,,Vignetting,,,5,sad,
event_miraclesnow2_intermission_01_21,40004,event_miraclesnow2_intermission_01,Monologue,Locale_SubScenario:event_miraclesnow2_intermission_01_21,False,City,5,3,1.0,,Vignetting,,,3,sad,
