id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade,jump_target
event_juveniledays_03_s_1,40053,event_juveniledays_03_s,Narration,marciana,Locale_SubScenario:event_juveniledays_03_s_1,False,marciana,1,idle,Classroom_e,10,10,1.0,sfx_scn_schoolbell,none,,,,,,,,,,,,,,,,,
event_juveniledays_03_s_2,40053,event_juveniledays_03_s,Speech,marciana,Locale_SubScenario:event_juveniledays_03_s_2,True,,1,idle,,10,10,1.0,,bgm_story_orangepop,marciana,,,,,,,,,,,,,,,,
event_juveniledays_03_s_3,40053,event_juveniledays_03_s,Speech,marciana,Locale_SubScenario:event_juveniledays_03_s_3,False,,1,idle,,10,10,1.0,,,students,marciana,,,,,,,,,,,,,,,
event_juveniledays_03_s_4,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_4,False,,,,,1,10,1.0,,,outgoingschoolgirl,,ein,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_5,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_5,True,,,,,10,10,1.0,,,ein,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_6,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_6,False,,,,,10,10,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_7,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_7,False,,,,,10,10,1.0,,,generalschoolgirl,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_8,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_8,False,,,,,10,10,1.0,,,generalschoolgirl,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_9,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_9,False,,,,,10,10,1.0,,,generalschoolgirl,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_10,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_10,True,,,,,10,10,1.0,,,ein,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_11,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_11,True,,,,,10,10,1.0,,,ein,,,1,idle,,,,,,,,,,,,
event_juveniledays_03_s_12,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_12,True,,,,,10,10,1.0,,,ein,,,1,delight,,,,,,,,,,,,
event_juveniledays_03_s_13,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_13,True,,,,,10,10,1.0,,,ein,,,1,delight,,,,,,,,,,,,
event_juveniledays_03_s_14,40053,event_juveniledays_03_s,Speech,rei,Locale_SubScenario:event_juveniledays_03_s_14,True,,,,,10,12,1.0,,,rei,,,1,delight,rei,13,idle,,,,,,,,,
event_juveniledays_03_s_15,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_15,True,,,,,12,12,1.0,,,ein,,,1,idle,,13,idle,,,,,,,,,
event_juveniledays_03_s_16,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_16,True,,,,,12,12,1.0,,,ein,,,1,shy,,13,idle,,,,,,,,,
event_juveniledays_03_s_17,40053,event_juveniledays_03_s,Speech,ein,Locale_SubScenario:event_juveniledays_03_s_17,True,,,,,12,12,1.0,,,ein,,,1,shy,,13,idle,,,,,,,,,
event_juveniledays_03_s_18,40053,event_juveniledays_03_s,Speech,rei,Locale_SubScenario:event_juveniledays_03_s_18,False,,,,,12,12,1.0,,,rei,,,1,shy,,13,surprise,,,,,,,,,
event_juveniledays_03_s_19,40053,event_juveniledays_03_s,Narration,rei,Locale_SubScenario:event_juveniledays_03_s_19,False,,,,,black,black,1.0,sfx_scn_slidingdoorpower,none,,,,1,shy,,13,surprise,ein,,,,,,,,
event_juveniledays_03_s_20,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_20,False,,,,,30,30,1.0,,,outgoingschoolgirl,,,,,,13,surprise,,rei,,,,,,,
event_juveniledays_03_s_21,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_21,False,,,,,30,30,1.0,,bgm_story_crawlinganxiety,outgoingschoolgirl,,,,,,,,,,,,,,,,
event_juveniledays_03_s_22,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_22,False,,,,,30,30,1.0,,,generalschoolgirl,,,,,,,,,,,,,,,,
event_juveniledays_03_s_23,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_23,False,marciana,3,idle,Office,black,black,1.0,,,outgoingschoolgirl,,ein,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_24,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_24,False,,3,idle,,2,2,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_25,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_25,False,,3,idle,,2,2,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_26,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_26,False,,3,idle,,2,2,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_27,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_27,False,,3,idle,,2,2,1.0,,,generalschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_28,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_28,False,,3,idle,,2,2,1.0,,,generalschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_29,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_29,False,,3,idle,,2,2,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_30,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_30,False,,3,idle,,2,2,1.0,,,outgoingschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_31,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_31,False,,3,idle,,2,2,1.0,,,generalschoolgirl,,,1,idle,,,,,,Grey,,,,,,
event_juveniledays_03_s_32,40053,event_juveniledays_03_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_03_s_32,False,,3,idle,Classroom_e,black,black,1.0,,,outgoingschoolgirl,marciana,,1,idle,,,,ein,,,,,,,,
event_juveniledays_03_s_33,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_33,False,,,,,300,300,1.0,,,generalschoolgirl,,,,,,,,,,,,,,,,
event_juveniledays_03_s_34,40053,event_juveniledays_03_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_03_s_34,False,,,,,300,300,1.0,,,generalschoolgirl,,,,,,,,,,,,,,,,
