id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_noirblanc_03_1,80903,snowfall_speech_noirblanc_03,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_03_1,False,HotSpringInnIn_d,12,12,1.0,amb_so_inn_in_1,event_bgm_neverland_hugme_day,,,,,,noir_c,1,idle,blanc_c,13,idle
snowfall_speech_noirblanc_03_2,80903,snowfall_speech_noirblanc_03,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_03_2,False,,12,12,1.0,,,,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_3,80903,snowfall_speech_noirblanc_03,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_03_3,False,,12,12,1.0,,,,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_4,80903,snowfall_speech_noirblanc_03,Choice,Locale_SubScenario:snowfall_speech_noirblanc_03_4,False,,12,12,1.0,,,snowfall_speech_noirblanc_03_7,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_5,80903,snowfall_speech_noirblanc_03,Choice,Locale_SubScenario:snowfall_speech_noirblanc_03_5,False,,12,12,1.0,,,snowfall_speech_noirblanc_03_6,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_6,80903,snowfall_speech_noirblanc_03,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_03_6,False,,black,black,1.0,,,,True,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_7,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_7,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_8,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_8,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_9,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_9,True,,12,12,1.0,,,,,noir_c,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_10,80903,snowfall_speech_noirblanc_03,Self,Locale_SubScenario:snowfall_speech_noirblanc_03_10,False,,12,12,1.0,,,,,noir_c,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_11,80903,snowfall_speech_noirblanc_03,Self,Locale_SubScenario:snowfall_speech_noirblanc_03_11,False,,12,12,1.0,,,,,noir_c,,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_12,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_12,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,delight
snowfall_speech_noirblanc_03_13,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_13,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,no
snowfall_speech_noirblanc_03_14,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_14,True,,12,12,1.0,,,,,noir_c,noir_c,,,1,idle,,13,no
snowfall_speech_noirblanc_03_15,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_15,True,,12,12,1.0,,,,,noir_c,noir_c,,,1,idle,,13,no
snowfall_speech_noirblanc_03_16,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_16,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,no
snowfall_speech_noirblanc_03_17,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_17,True,,12,12,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,no
snowfall_speech_noirblanc_03_18,80903,snowfall_speech_noirblanc_03,Choice,Locale_SubScenario:snowfall_speech_noirblanc_03_18,False,,12,12,1.0,,,snowfall_speech_noirblanc_03_20,,blanc_c,,,,1,idle,,13,no
snowfall_speech_noirblanc_03_19,80903,snowfall_speech_noirblanc_03,Choice,Locale_SubScenario:snowfall_speech_noirblanc_03_19,False,,12,12,1.0,,,snowfall_speech_noirblanc_03_27,,blanc_c,,,,1,idle,,13,no
snowfall_speech_noirblanc_03_20,80903,snowfall_speech_noirblanc_03,Narration,Locale_SubScenario:snowfall_speech_noirblanc_03_20,False,,12,L_130,1.0,,,,,blanc_c,,sfx_scn_handtouch,,1,idle,,13,idle
snowfall_speech_noirblanc_03_21,80903,snowfall_speech_noirblanc_03,Speech,Locale_SubScenario:snowfall_speech_noirblanc_03_21,True,,L_130,L_130,1.0,,,,,blanc_c,blanc_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_03_22,80903,snowfall_speech_noirblanc_03,Narration,Locale_SubScenario:snowfall_speech_noirblanc_03_22,False,,L_130,L_10,1.0,,,,,blanc_c,,sfx_scn_handtouch,,1,idle,,13,idle
