id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_contents_madeinrush_06_1,82501,d_contents_madeinrush_06,Narration,Locale_SubScenario:d_contents_madeinrush_06_1,False,CoinRushMainHall,50,10,1.0,none,,,ade_b,1,delight,,,
d_contents_madeinrush_06_2,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_2,True,,10,10,1.0,,ade_b,ade_b,,1,delight,,,
d_contents_madeinrush_06_3,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_3,True,,10,10,1.0,,ade_b,ade_b,,1,surprise,,,
d_contents_madeinrush_06_4,82501,d_contents_madeinrush_06,Narration,Locale_SubScenario:d_contents_madeinrush_06_4,False,,black,black,1.0,,,,,1,surprise,,,
d_contents_madeinrush_06_5,82501,d_contents_madeinrush_06,Narration,Locale_SubScenario:d_contents_madeinrush_06_5,False,,10,10,1.0,,,,,1,surprise,,,
d_contents_madeinrush_06_6,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_6,True,,10,100,1.0,,ade_b,ade_b,,1,worry,,,
d_contents_madeinrush_06_7,82501,d_contents_madeinrush_06,Narration,Locale_SubScenario:d_contents_madeinrush_06_7,False,,black,black,1.0,,,,,1,worry,noir,13,surprise
d_contents_madeinrush_06_8,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_8,True,,12,12,1.0,bgm_story_languor,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_9,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_9,True,,12,12,1.0,,ade_b,ade_b,,1,idle,,13,surprise
d_contents_madeinrush_06_10,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_10,True,,12,12,1.0,,ade_b,ade_b,,1,idle,,13,surprise
d_contents_madeinrush_06_11,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_11,True,,12,12,1.0,,noir,noir,,1,idle,,13,surprise
d_contents_madeinrush_06_12,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_12,True,,12,12,1.0,,noir,noir,,1,idle,,13,surprise
d_contents_madeinrush_06_13,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_13,True,,12,12,1.0,,ade_b,ade_b,,1,worry,,13,surprise
d_contents_madeinrush_06_14,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_14,True,,12,12,1.0,,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_15,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_15,True,,12,12,1.0,,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_16,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_16,True,,12,12,1.0,,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_17,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_17,True,,12,12,1.0,,ade_b,ade_b,,1,worry,,13,surprise
d_contents_madeinrush_06_18,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_18,True,,12,12,1.0,,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_19,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_19,True,,12,12,1.0,,noir,noir,,1,worry,,13,surprise
d_contents_madeinrush_06_20,82501,d_contents_madeinrush_06,Speech,Locale_SubScenario:d_contents_madeinrush_06_20,True,,12,12,1.0,,ade_b,ade_b,,1,worry,,13,surprise
