id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade,set_filter_01,characters/0/hide_char_id
event_nonsensered_5_1,130005,event_nonsensered_5,Monologue,redhood_d,Locale_SubScenario:event_nonsensered_5_1,False,redhood_d,3,idle,Restaurant,3,L_30,1.0,event_bgm_lastkingdom_noblemeals,,,,,,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_2,130005,event_nonsensered_5,Narration,redhood_d,Locale_SubScenario:event_nonsensered_5_2,False,,3,idle,,L_30,L_30,1.0,,sfx_scn_swallow,,,,,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_3,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_3,True,,3,idle,,L_30,L_30,1.0,,,redhood_d,,,,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_4,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_4,True,,3,idle,,L_30,L_30,1.0,,,redhood_d,,,,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_5,130005,event_nonsensered_5,Speech,dorothy,Locale_SubScenario:event_nonsensered_5_5,True,,3,idle,,L_30,4,1.0,,,dorothy,dorothy,5,think,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_6,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_6,True,,3,panic,,4,4,1.0,,,redhood_d,,5,think,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_7,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_7,True,,3,panic,,4,4,1.0,,,redhood_d,,5,think,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_8,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_8,True,,3,panic,,4,4,1.0,,,redhood_d,,5,think,,,,,,,,,,,,,,,,,,,,
event_nonsensered_5_9,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_9,True,,3,panic,,10,10,1.0,,,liliweiss,,5,think,snowwhite_o,7,idle,liliweiss,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_10,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_10,True,,3,panic,,10,10,1.0,,,liliweiss,,5,think,,7,idle,,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_11,130005,event_nonsensered_5,Speech,dorothy,Locale_SubScenario:event_nonsensered_5_11,True,,3,panic,,6,6,1.0,,,dorothy,,5,idle,,7,idle,,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_12,130005,event_nonsensered_5,Speech,snowwhite_o,Locale_SubScenario:event_nonsensered_5_12,True,,3,panic,,6,6,1.0,,,snowwhite_o,,5,idle,,7,special,,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_13,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_13,True,,3,panic,,10,10,1.0,,,liliweiss,,5,idle,,7,special,,1,delight,,,,,,,,,,,,,,
event_nonsensered_5_14,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_14,True,,3,smile_02,,10,2,1.0,,,redhood_d,,5,idle,,7,idle,,1,delight,,,,,,,,,,,,,,
event_nonsensered_5_15,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_15,True,,3,smile_02,,2,2,1.0,,,redhood_d,,5,idle,,7,idle,,1,delight,,,,,,,,,,,,,,
event_nonsensered_5_16,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_16,True,,3,worry,,2,2,1.0,,,redhood_d,,5,idle,,7,idle,,1,delight,,,,,,,,,,,,,,
event_nonsensered_5_17,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_17,True,,3,worry,,2,2,1.0,,,liliweiss,,5,idle,,7,idle,,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_18,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_18,True,,3,worry,,2,2,1.0,,,liliweiss,,5,idle,,7,idle,,1,idle,,,,,,,,,,,,,,
event_nonsensered_5_19,130005,event_nonsensered_5,Speech,commander,Locale_SubScenario:event_nonsensered_5_19,True,,3,worry,,2,12,1.0,,,commander,,5,idle,,7,idle,,1,idle,commander,13,idle,,,,,,,,,,,
event_nonsensered_5_20,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_20,True,,3,worry,,12,12,1.0,,,liliweiss,,5,idle,,7,idle,,1,think,,13,idle,,,,,,,,,,,
event_nonsensered_5_21,130005,event_nonsensered_5,Speech,commander,Locale_SubScenario:event_nonsensered_5_21,True,,3,worry,,12,12,1.0,,,commander,,5,idle,,7,idle,,1,think,,13,idle,,,,,,,,,,,
event_nonsensered_5_22,130005,event_nonsensered_5,Speech,liliweiss,Locale_SubScenario:event_nonsensered_5_22,True,,3,worry,,12,12,1.0,,,liliweiss,,5,idle,,7,idle,,1,idle,,13,idle,,,,,,,,,,,
event_nonsensered_5_23,130005,event_nonsensered_5,Monologue,liliweiss,Locale_SubScenario:event_nonsensered_5_23,False,,3,worry,,12,12,1.0,,,,,5,idle,,7,idle,,17,idle,,19,idle,liliweiss,commander,,,,,,,,,
event_nonsensered_5_24,130005,event_nonsensered_5,Speech,snowwhite_o,Locale_SubScenario:event_nonsensered_5_24,True,,3,worry,,6,6,1.0,,,snowwhite_o,,5,idle,,7,shy,,,,,,,,,,,,,,,,,
event_nonsensered_5_25,130005,event_nonsensered_5,Speech,dorothy,Locale_SubScenario:event_nonsensered_5_25,True,,3,worry,,6,6,1.0,,,dorothy,,5,idle,,7,shy,,,,,,,,,,,,,,,,,
event_nonsensered_5_26,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_26,True,,3,no,,6,3,1.0,,,redhood_d,,5,idle,,7,shy,,,,,,,,,,,,,,,,,
event_nonsensered_5_27,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_27,True,,3,no,,3,3,1.0,,,redhood_d,,5,idle,,7,shy,,,,,,,,,,,,,,,,,
event_nonsensered_5_28,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_28,True,,3,idle,,3,L_30,1.0,,,redhood_d,,5,idle,,7,shy,,,,,,,,,,,,,,,,,
event_nonsensered_5_29,130005,event_nonsensered_5,Narration,redhood_d,Locale_SubScenario:event_nonsensered_5_29,False,,3,idle,,black,black,1.0,,sfx_scn_swallow,,,13,idle,,1,idle,,,,,,,,,rapunzel_o,5,no,hongryeon_o,7,idle,,,
event_nonsensered_5_30,130005,event_nonsensered_5,Speech,rapunzel_o,Locale_SubScenario:event_nonsensered_5_30,True,,3,go,,4,4,1.0,,,rapunzel_o,,13,think,,1,idle,,,,,,,,,,5,no,,7,idle,black,,
event_nonsensered_5_31,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_31,True,,3,go,,4,4,1.0,,,redhood_d,,13,think,,1,idle,,,,,,,,,,5,no,,7,idle,,,
event_nonsensered_5_32,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_32,True,,3,go,,4,4,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,no,,7,idle,,,
event_nonsensered_5_33,130005,event_nonsensered_5,Speech,rapunzel_o,Locale_SubScenario:event_nonsensered_5_33,True,,3,go,,4,4,1.0,,,rapunzel_o,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_34,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_34,True,,3,go,,4,4,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_35,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_35,True,,3,go,,4,4,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_36,130005,event_nonsensered_5,Speech,snowwhite_o,Locale_SubScenario:event_nonsensered_5_36,True,,3,go,,4,2,1.0,,,snowwhite_o,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_37,130005,event_nonsensered_5,Speech,snowwhite_o,Locale_SubScenario:event_nonsensered_5_37,True,,3,go,,2,2,1.0,,,snowwhite_o,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_38,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_38,True,,3,shy_02,,2,2,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_39,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_39,True,,3,shy_02,,2,2,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_40,130005,event_nonsensered_5,Speech,redhood_d,Locale_SubScenario:event_nonsensered_5_40,True,,3,shy_02,,2,2,1.0,,,redhood_d,,13,think,,1,shy,,,,,,,,,,5,idle,,7,idle,,,
event_nonsensered_5_41,130005,event_nonsensered_5,Speech,snowwhite_o,Locale_SubScenario:event_nonsensered_5_41,True,,3,shy_02,,2,2,1.0,,,snowwhite_o,,13,think,,1,no,,,,,,,,,,5,idle,,7,idle,,,
