id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_boomsday_03_e_1,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_1,False,ArkRuinIndoor,black,black,1.0,none,,,,,,,,,,
event_boomsday_03_e_2,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_2,False,,black,black,1.0,,,,,,,,,,,
event_boomsday_03_e_3,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_3,False,,15,3,1.7,bgm_frostpillar,trony,3,idle,,,,,,,
event_boomsday_03_e_4,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_4,False,,15,150,0.3,,,3,idle,sfx_scn_shootinggame,,,,,,
event_boomsday_03_e_5,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_5,False,,150,150,1.0,,,3,idle,sfx_scn_highscore,,,,,,
event_boomsday_03_e_6,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_6,False,,15,150,0.3,,,3,idle,sfx_scn_shootinggame,,,,,,
event_boomsday_03_e_7,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_7,False,,black,black,1.0,,,3,idle,,,,,,,
event_boomsday_03_e_8,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_8,False,,black,black,1.0,,,3,idle,,,,,,,
event_boomsday_03_e_9,40040,event_boomsday_03_e,Narration,Locale_SubScenario:event_boomsday_03_e_9,False,,3,3,1.0,,,3,idle,,,,,,,
event_boomsday_03_e_10,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_10,True,,3,3,1.0,,,3,idle,,elegg,elegg,,,,
event_boomsday_03_e_11,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_11,True,,3,3,1.0,,,3,idle,,elegg,elegg,,,,
event_boomsday_03_e_12,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_12,True,,3,3,1.0,,,3,idle,,elegg,elegg,,,,
event_boomsday_03_e_13,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_13,True,,3,3,1.0,,,3,idle,,elegg,elegg,,,,
event_boomsday_03_e_14,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_14,True,,3,2,1.0,,,3,idle,,trony1,trony1,trony1,1,idle,
event_boomsday_03_e_15,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_15,False,,2,2,1.0,,,3,idle,,trony,trony,,1,idle,
event_boomsday_03_e_16,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_16,True,,2,2,1.0,,,3,idle,,trony1,trony1,,1,idle,
event_boomsday_03_e_17,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_17,False,,2,2,1.0,,,3,idle,,trony,trony,,1,idle,
event_boomsday_03_e_18,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_18,True,,2,2,1.0,,,3,sad,,trony,trony,,1,idle,
event_boomsday_03_e_19,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_19,True,,2,2,1.0,,,3,sad,,trony,trony,,1,idle,
event_boomsday_03_e_20,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_20,True,,2,2,1.0,,,3,sad,,trony1,trony1,,1,idle,
event_boomsday_03_e_21,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_21,True,,2,2,1.0,,,3,sad,,trony1,trony1,,1,idle,
event_boomsday_03_e_22,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_22,True,,2,2,1.0,,,3,sad,,trony1,trony1,,1,idle,
event_boomsday_03_e_23,40040,event_boomsday_03_e,Speech,Locale_SubScenario:event_boomsday_03_e_23,False,,2,2,1.0,,,3,sad,,trony,trony,,1,idle,
