id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_lifeagain_02_e_1,40060,event_lifeagain_02_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_e_1,False,Park,black,black,1.0,none,,,,,rumani,5,idle,nadia,3,angry,tove_n,1,idle,
event_lifeagain_02_e_2,40060,event_lifeagain_02_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_e_2,False,,L_50,L_50,1.0,bgm_story_epicjazzymoods,,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_3,40060,event_lifeagain_02_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_e_3,False,,2,2,1.0,,,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_4,40060,event_lifeagain_02_e,Speech,rumani,Locale_SubScenario:event_lifeagain_02_e_4,True,,L_50,L_50,1.0,,rumani,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_5,40060,event_lifeagain_02_e,Speech,tove_n,Locale_SubScenario:event_lifeagain_02_e_5,True,,2,2,1.0,,tove_n,,,,,5,idle,,3,angry,,1,delight,
event_lifeagain_02_e_6,40060,event_lifeagain_02_e,Self,Self,Locale_SubScenario:event_lifeagain_02_e_6,False,,2,2,1.0,,tove_n,,,,,5,idle,,3,angry,,1,delight,
event_lifeagain_02_e_7,40060,event_lifeagain_02_e,Speech,nadia,Locale_SubScenario:event_lifeagain_02_e_7,True,,2,2,1.0,,nadia,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_8,40060,event_lifeagain_02_e,Speech,nadia,Locale_SubScenario:event_lifeagain_02_e_8,True,,2,2,1.0,,nadia,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_9,40060,event_lifeagain_02_e,Self,Self,Locale_SubScenario:event_lifeagain_02_e_9,False,,2,2,1.0,,nadia,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_10,40060,event_lifeagain_02_e,Speech,rumani,Locale_SubScenario:event_lifeagain_02_e_10,True,,L_50,L_50,1.0,,rumani,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_11,40060,event_lifeagain_02_e,Self,Self,Locale_SubScenario:event_lifeagain_02_e_11,False,,L_50,L_50,1.0,,rumani,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_12,40060,event_lifeagain_02_e,Speech,rumani,Locale_SubScenario:event_lifeagain_02_e_12,True,,L_50,L_50,1.0,,rumani,,,,,5,idle,,3,angry,,1,idle,
event_lifeagain_02_e_13,40060,event_lifeagain_02_e,Speech,rumani,Locale_SubScenario:event_lifeagain_02_e_13,True,,L_50,L_50,1.0,,rumani,,,,,5,idle,,3,angry,,1,idle,
