id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_global_01_default_1,80903,snowfall_global_01,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,
snowfall_global_01_default_2,80903,snowfall_global_01,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_01_1,,,,,,,,,,,,
snowfall_global_01_default_3,80903,snowfall_global_01,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,
snowfall_global_01_1,80903,snowfall_global_01,Monologue,Locale_SubScenario:snowfall_global_01_1,False,HotSpringInnIn_d,7,3,1.0,amb_so_inn_in_1,event_bgm_neverland_hugme_day,,,white,,,,,,,,,,
snowfall_global_01_2,80903,snowfall_global_01,Monologue,Locale_SubScenario:snowfall_global_01_2,False,,3,3,1.0,,,,,,,,,,,,,,,
snowfall_global_01_3,80903,snowfall_global_01,Narration,Locale_SubScenario:snowfall_global_01_3,False,,3,3,1.0,,,,,,sfx_scn_slidingdoor,,,,,,,,,
snowfall_global_01_4,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_4,True,,3,30,1.0,,,,,,,ludmilla_w,ludmilla_w,ludmilla_w,3,think,,,,
snowfall_global_01_5,80903,snowfall_global_01,Self,Locale_SubScenario:snowfall_global_01_5,False,,30,30,1.0,,,,,,,,,,3,think,,,,
snowfall_global_01_6,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_6,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,,,
snowfall_global_01_7,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_7,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,,,
snowfall_global_01_8,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_8,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,,,
snowfall_global_01_9,80903,snowfall_global_01,Self,Locale_SubScenario:snowfall_global_01_9,False,,30,30,1.0,,,,,,,,,,3,think,,,,
snowfall_global_01_10,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_10,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,surprise,,,,
snowfall_global_01_11,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_11,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,surprise,,,,
snowfall_global_01_12,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_12,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,,,
snowfall_global_01_13,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_13,True,,30,30,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,,,
snowfall_global_01_14,80903,snowfall_global_01,Self,Locale_SubScenario:snowfall_global_01_14,False,,30,30,1.0,,,,,,,,,,3,think,,,,
snowfall_global_01_15,80903,snowfall_global_01,Monologue,Locale_SubScenario:snowfall_global_01_15,False,HotSpringInnOut_d,black,black,1.0,amb_so_inn_out_1,event_bgm_neverland_snowflakes_day,,,,,,,,3,think,lumi_01,1,idle,
snowfall_global_01_16,80903,snowfall_global_01,Monologue,Locale_SubScenario:snowfall_global_01_16,False,,3,3,1.0,,,,,,,,,,3,think,,1,idle,
snowfall_global_01_17,80903,snowfall_global_01,Monologue,Locale_SubScenario:snowfall_global_01_17,False,,3,2,1.0,,,,,,,,,,3,think,,1,idle,
snowfall_global_01_18,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_18,False,,2,2,1.0,,,,,,,soldierow,soldierow,,3,think,,1,idle,
snowfall_global_01_19,80903,snowfall_global_01,Self,Locale_SubScenario:snowfall_global_01_19,False,,2,2,1.0,,,,,,,,,,3,think,,1,idle,
snowfall_global_01_20,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_20,True,,2,2,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,1,idle,
snowfall_global_01_21,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_21,True,,2,2,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,1,idle,
snowfall_global_01_22,80903,snowfall_global_01,Self,Locale_SubScenario:snowfall_global_01_22,False,,2,2,1.0,,,,,,,,,,3,think,,1,idle,
snowfall_global_01_23,80903,snowfall_global_01,Speech,Locale_SubScenario:snowfall_global_01_23,True,,2,2,1.0,,,,,,,ludmilla_w,ludmilla_w,,3,think,,1,idle,
