id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
event_queensorder_03_s_1,40015,event_queensorder_03_s,Monologue,Locale_SubScenario:event_queensorder_03_s_1,False,none,black,black,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
event_queensorder_03_s_2,40015,event_queensorder_03_s,Narration,Locale_SubScenario:event_queensorder_03_s_2,False,ArkRuinIndoor,3,3,1.0,,sfx_scn_rustydooropen,,,,,,,,,
event_queensorder_03_s_3,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_3,True,,3,30,1.0,,,sakura_n,sakura,rosanna,1,idle,sakura_n,3,idle,
event_queensorder_03_s_4,40015,event_queensorder_03_s,Self,Locale_SubScenario:event_queensorder_03_s_4,False,,30,30,1.0,,,,,,1,idle,,3,idle,
event_queensorder_03_s_5,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_5,True,,30,2,1.0,,,rosanna,rosanna,,1,idle,,3,idle,
event_queensorder_03_s_6,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_6,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_7,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_7,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_8,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_8,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_9,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_9,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_10,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_10,True,,2,2,1.0,,,rosanna,rosanna,,1,idle,,3,idle,
event_queensorder_03_s_11,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_11,True,,2,2,1.0,,,rosanna,rosanna,,1,good,,3,idle,
event_queensorder_03_s_12,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_12,True,,2,2,1.0,,,rosanna,rosanna,,1,good,,3,idle,
event_queensorder_03_s_13,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_13,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_14,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_14,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_15,40015,event_queensorder_03_s,Self,Locale_SubScenario:event_queensorder_03_s_15,False,,2,2,1.0,,,,,,1,idle,,3,idle,
event_queensorder_03_s_16,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_16,True,,2,2,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_17,40015,event_queensorder_03_s,Self,Locale_SubScenario:event_queensorder_03_s_17,False,,2,2,1.0,,,,,,1,idle,,3,idle,
event_queensorder_03_s_18,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_18,True,,2,30,1.0,,,sakura_n,sakura,,1,idle,,3,idle,
event_queensorder_03_s_19,40015,event_queensorder_03_s,Choice,Locale_SubScenario:event_queensorder_03_s_19,False,,30,30,1.0,,,,,,1,idle,,3,idle,event_queensorder_03_s_21
event_queensorder_03_s_20,40015,event_queensorder_03_s,Choice,Locale_SubScenario:event_queensorder_03_s_20,False,,30,30,1.0,,,,,,1,idle,,3,idle,event_queensorder_03_s_24
event_queensorder_03_s_21,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_21,True,,30,30,1.0,,,sakura_n,sakura,,1,idle,,3,surprise,
event_queensorder_03_s_22,40015,event_queensorder_03_s,Speech,Locale_SubScenario:event_queensorder_03_s_22,True,,30,30,1.0,,,sakura_n,sakura,,1,idle,,3,surprise,
